dsgdb9 ID	symmetry point group	composition	mu / D	alpha / bohr^3	E(HOMO) / eV	E(LUMO) / eV	chemical hardness / eV	zpve / eV	U(0K) / kcal.mol-1	U(298.15K) / kcal.mol-1	H(298.15K) / kcal.mol-1	G(298.15K) / kcal.mol-1	Cv(298.15K) / cal.mol-1.K-1	SMILES BASIC	SMILES STEREO	InChi1	InChi2
39192	C1	C8 O1 H10	1.3806	78.77	-6.47630992654525	0.546948863544368	7.02325879008962	4.44261255267881	-242154.165329656	-242150.148014003	-242149.55564506	-242173.336371598	27.025	C1C2OCC3C=CC1C23	C1[C@H]2OC[C@H]3C=C[C@@H]1[C@@H]23	InChI=1S/C8H10O/c1-2-6-4-9-7-3-5(1)8(6)7/h1-2,5-8H,3-4H2	InChI=1S/C8H10O/c1-2-6-4-9-7-3-5(1)8(6)7/h1-2,5-8H,3-4H2/t5-,6+,7+,8+/m0/s1
94730	C1	C8 O1 H14	1.2013	84.36	-6.75658720487894	2.08439218644272	8.84097939132165	5.62064788604015	-243663.914218664	-243658.308049023	-243657.71568008	-243684.728707919	35.627	CC1CCC2(O)CCC12	C[C@H]1CC[C@@]2(O)CC[C@@H]12	InChI=1S/C8H14O/c1-6-2-4-8(9)5-3-7(6)8/h6-7,9H,2-5H2,1H3	InChI=1S/C8H14O/c1-6-2-4-8(9)5-3-7(6)8/h6-7,9H,2-5H2,1H3/t6-,7-,8+/m0/s1
39656	C1	C7 O1 N1 H11	1.3693	77.94	-6.04364888523404	1.92112386896679	7.96477275420082	4.6964403635814	-252930.439493556	-252925.49534641	-252924.902977466	-252951.097105442	30.189	C1CC(O1)C1C2CCN12	C1C[C@@H](O1)[C@H]1[C@H]2CCN12	InChI=1S/C7H11NO/c1-3-8-5(1)7(8)6-2-4-9-6/h5-7H,1-4H2	InChI=1S/C7H11NO/c1-3-8-5(1)7(8)6-2-4-9-6/h5-7H,1-4H2/t5-,6-,7-,8?/m1/s1
92213	C1	C9 H14	0.1598	87.55	-7.43959299965325	2.33201580128121	9.77160880093446	5.72628248744708	-220358.313380987	-220353.814765568	-220353.221769115	-220377.810100347	30.913	CC1CC2CC3CC2C13	C[C@H]1C[C@H]2C[C@@H]3C[C@H]2[C@H]13	InChI=1S/C9H14/c1-5-2-6-3-7-4-8(6)9(5)7/h5-9H,2-4H2,1H3	InChI=1S/C9H14/c1-5-2-6-3-7-4-8(6)9(5)7/h5-9H,2-4H2,1H3/t5-,6-,7+,8+,9+/m0/s1
118460	C1	C7 O2 H16	2.0098	85.88	-6.8436636408661	2.00820030495395	8.85186394582005	6.16678040799714	-267706.931559768	-267699.552675862	-267698.960306919	-267730.224711445	42.6	CC(C)C(CO)CCO	CC(C)[C@@H](CO)CCO	InChI=1S/C7H16O2/c1-6(2)7(5-9)3-4-8/h6-9H,3-5H2,1-2H3	InChI=1S/C7H16O2/c1-6(2)7(5-9)3-4-8/h6-9H,3-5H2,1-2H3/t7-/m1/s1
124847	C1	C7 N2 H10	2.6374	81.1	-6.30215705457093	0.68300579477431	6.98516284934524	4.38625777176337	-239762.070349092	-239756.850097777	-239756.257728834	-239783.366765623	31.639	CC1(CC1)C1=CC=NN1	CC1(CC1)c1ccn[nH]1	InChI=1S/C7H10N2/c1-7(3-4-7)6-2-5-8-9-6/h2,5H,3-4H2,1H3,(H,8,9)	InChI=1S/C7H10N2/c1-7(3-4-7)6-2-5-8-9-6/h2,5H,3-4H2,1H3,(H,8,9)
43182	C1	O1 C7 N1 H9	3.7415	75.97	-6.42460829267788	-0.00272113862459885	6.42188715405328	4.06102728335132	-252211.183114309	-252206.607315224	-252206.014946281	-252231.088969845	28.709	O=C1C2CCC22CCN12	O=C1[C@@H]2CC[C@]32CCN13	InChI=1S/C7H9NO/c9-6-5-1-2-7(5)3-4-8(6)7/h5H,1-4H2	InChI=1S/C7H9NO/c9-6-5-1-2-7(5)3-4-8(6)7/h5H,1-4H2/t5-,7+/m0/s1
91454	C1	O3 C6 H8	4.3905	67.98	-6.39739690643189	-0.195921980971117	6.20147492546077	3.69791854528485	-288001.664757225	-287996.667271773	-287996.07490283	-288021.793378624	31.253	OC1CC2CC1(O)C2=O	O[C@H]1C[C@H]2C[C@]1(O)C2=O	InChI=1S/C6H8O3/c7-4-1-3-2-6(4,9)5(3)8/h3-4,7,9H,1-2H2	InChI=1S/C6H8O3/c7-4-1-3-2-6(4,9)5(3)8/h3-4,7,9H,1-2H2/t3-,4-,6+/m0/s1
72487	C1	C7 O2 H12	1.8698	76.52	-6.71577012550995	2.1224881271871	8.83825825269705	5.03742624462988	-266226.240124465	-266221.472934991	-266220.880566047	-266245.962119726	31.534	CC12CCC(CCO1)O2	C[C@@]12CC[C@@H](CCO1)O2	InChI=1S/C7H12O2/c1-7-4-2-6(9-7)3-5-8-7/h6H,2-5H2,1H3	InChI=1S/C7H12O2/c1-7-4-2-6(9-7)3-5-8-7/h6H,2-5H2,1H3/t6-,7+/m0/s1
72396	C1	C8 O1 H12	1.4697	81.98	-6.46270423342226	0.549670002168967	7.01237423559123	4.99168390435037	-242912.632893409	-242907.518691195	-242906.926322252	-242932.54502404	33.892	CC12CCC(O)(C1)C=C2	C[C@@]12CC[C@@](O)(C1)C=C2	InChI=1S/C8H12O/c1-7-2-4-8(9,6-7)5-3-7/h2,4,9H,3,5-6H2,1H3	InChI=1S/C8H12O/c1-7-2-4-8(9,6-7)5-3-7/h2,4,9H,3,5-6H2,1H3/t7-,8-/m1/s1
123101	Cs	C7 O2 H14	3.4172	84.98	-6.64502052127038	-0.247623614838495	6.39739690643189	5.4842916295615	-266973.445775687	-266966.060616687	-266965.467620234	-266998.422535283	39.516	CCOCCCC(C)=O	CCOCCCC(=O)C	InChI=1S/C7H14O2/c1-3-9-6-4-5-7(2)8/h3-6H2,1-2H3	InChI=1S/C7H14O2/c1-3-9-6-4-5-7(2)8/h3-6H2,1-2H3
18490	C1	N1 C6 O1 H7	3.9545	64.57	-7.39061250441047	0.952398518609596	8.34301102302006	3.24182850041584	-227557.938537568	-227553.500163058	-227552.907166605	-227577.910281599	26.002	N#CCC1CC2OC12	N#CC[C@H]1C[C@H]2O[C@@H]12	InChI=1S/C6H7NO/c7-2-1-4-3-5-6(4)8-5/h4-6H,1,3H2	InChI=1S/C6H7NO/c7-2-1-4-3-5-6(4)8-5/h4-6H,1,3H2/t4-,5+,6-/m0/s1
15472	C1	O2 C5 N1 H5	4.3065	58.07	-7.38789136578587	-1.50478965940316	5.88310170638271	2.60252419195258	-250139.81763858	-250135.408129506	-250134.815133053	-250159.81448299	24.936	O=C1CCOC1C#N	O=C1CCO[C@H]1C#N	InChI=1S/C5H5NO2/c6-3-5-4(7)1-2-8-5/h5H,1-2H2	InChI=1S/C5H5NO2/c6-3-5-4(7)1-2-8-5/h5H,1-2H2/t5-/m0/s1
106576	C1	C7 O2 H10	2.2805	74.92	-6.50624245141584	-0.0163268317475931	6.48991561966825	4.31833815169339	-265421.336232122	-265416.128530997	-265415.536162054	-265441.816886337	32.659	CC1C2OC1(CO)C=C2	C[C@H]1[C@H]2O[C@]1(CO)C=C2	InChI=1S/C7H10O2/c1-5-6-2-3-7(5,4-8)9-6/h2-3,5-6,8H,4H2,1H3	InChI=1S/C7H10O2/c1-5-6-2-3-7(5,4-8)9-6/h2-3,5-6,8H,4H2,1H3/t5-,6-,7-/m0/s1
13178	C1	O1 C6 N1 H9	3.5222	68.63	-7.96205161557623	0.304767525955071	8.2668191415313	3.86910537615836	-228325.350621364	-228320.18872843	-228319.595731977	-228346.129342578	29.718	OC(C#N)C1CCC1	O[C@@H](C#N)C1CCC1	InChI=1S/C6H9NO/c7-4-6(8)5-2-1-3-5/h5-6,8H,1-3H2	InChI=1S/C6H9NO/c7-4-6(8)5-2-1-3-5/h5-6,8H,1-3H2/t6-/m0/s1
90152	C1	C8 N1 H13	1.5038	84.92	-6.04092774660944	2.25582391979244	8.29675166640188	5.35702397608901	-230411.451274562	-230406.504617378	-230405.912248435	-230431.416115989	32.596	CC1CC23CCCC12N3	C[C@H]1C[C@@]23CCC[C@@]12N3	InChI=1S/C8H13N/c1-6-5-7-3-2-4-8(6,7)9-7/h6,9H,2-5H2,1H3	InChI=1S/C8H13N/c1-6-5-7-3-2-4-8(6,7)9-7/h6,9H,2-5H2,1H3/t6-,7-,8+/m0/s1
46036	C1	N1 C7 O1 H11	3.3392	80.71	-6.82733680911851	0.936071686862003	7.76340849598051	4.69750160764499	-252988.987382505	-252983.770896247	-252983.178527303	-253010.066680758	31.746	N=C1CCC(O1)C1CC1	[NH][C]1CC[C@@H](O1)C1CC1	InChI=1S/C7H11NO/c8-7-4-3-6(9-7)5-1-2-5/h5-6,8H,1-4H2	InChI=1S/C7H11NO/c8-7-4-3-6(9-7)5-1-2-5/h5-6,8H,1-4H2/t6-/m1/s1
84657	C1	C7 N1 O1 H11	1.7246	79.38	-6.29943591594633	0.272113862459885	6.57154977840622	4.70637251956118	-252969.534588809	-252964.37897097	-252963.786602027	-252989.825107653	32.85	CC1C=CC2NC2C1O	C[C@H]1C=C[C@H]2N[C@H]2[C@H]1O	InChI=1S/C7H11NO/c1-4-2-3-5-6(8-5)7(4)9/h2-9H,1H3	InChI=1S/C7H11NO/c1-4-2-3-5-6(8-5)7(4)9/h2-9H,1H3/t4-,5+,6+,7-/m0/s1
63844	C2v	C9 H16	0.0497	91.16	-7.36612225678908	2.07350763194432	9.4396298887334	6.31004835658227	-221111.194227893	-221105.849729702	-221105.257360758	-221131.89827548	35.474	CC1(C)CC2CC(C2)C1	CC1(C)C[C@@H]2C[C@@H](C2)C1	InChI=1S/C9H16/c1-9(2)5-7-3-8(4-7)6-9/h7-8H,3-6H2,1-2H3	InChI=1S/C9H16/c1-9(2)5-7-3-8(4-7)6-9/h7-8H,3-6H2,1-2H3/t7-,8+
90072	C1	C7 N1 O1 H11	2.5567	80.99	-5.38785447670572	1.89935475997	7.28720923667571	4.59652015328613	-252881.879045396	-252876.714642424	-252876.122273481	-252901.963113623	33.085	CN1CC23CC(O2)C13C	CN1C[C@@]23C[C@@H](O2)[C@@]13C	InChI=1S/C7H11NO/c1-6-5-3-7(6,9-5)4-8(6)2/h5H,3-4H2,1-2H3	InChI=1S/C7H11NO/c1-6-5-3-7(6,9-5)4-8(6)2/h5H,3-4H2,1-2H3/t5-,6-,7-/m1/s1
118458	C1	N1 H11 C5 O3	5.5479	71.7	-6.87359616573669	0.598650497411746	7.47224666314843	4.65045312082567	-299605.68729587	-299599.373295543	-299598.78029909	-299628.078088924	36.147	[NH3+]CC(CCO)C([O-])=O	NC[C@@H](CCO)C(=O)O	InChI=1S/C5H11NO3/c6-3-4(1-2-7)5(8)9/h4,7H,1-3,6H2,(H,8,9)	InChI=1S/C5H11NO3/c6-3-4(1-2-7)5(8)9/h4,7H,1-3,6H2,(H,8,9)/t4-/m1/s1
99740	C1	C5 O3 N1 H11	6.4044	71.58	-6.87631730436128	0.394565100566833	7.27088240492812	4.65061638914315	-299611.856969019	-299605.830368031	-299605.237371578	-299633.618370071	35.796	CC(O)C(C[NH3+])C([O-])=O	C[C@@H](O)[C@@H](CN)C(=O)O	InChI=1S/C5H11NO3/c1-3(7)4(2-6)5(8)9/h3-4,7H,2,6H2,1H3,(H,8,9)	InChI=1S/C5H11NO3/c1-3(7)4(2-6)5(8)9/h3-4,7H,2,6H2,1H3,(H,8,9)/t3-,4-/m1/s1
122746	C1	C8 O1 H14	1.2408	93.45	-6.53073269903723	1.03947495459676	7.57020765363399	5.52467332675055	-243640.053798423	-243632.629733835	-243632.037364891	-243665.185552859	40.187	CCCCCC#CCO	CCCCCC#CCO	InChI=1S/C8H14O/c1-2-3-4-5-6-7-8-9/h9H,2-5,8H2,1H3	InChI=1S/C8H14O/c1-2-3-4-5-6-7-8-9/h9H,2-5,8H2,1H3
29177	C1	N3 C4 O2 H5	7.3657	66.57	-5.52935368518486	-0.557833418042764	4.97152026714209	2.76473126536492	-294971.650939243	-294966.456415817	-294965.864046873	-294992.302276035	30.019	NC1=CNC(=O)N1C=O	Nc1c[nH]c(=O)n1C=O	InChI=1S/C4H5N3O2/c5-3-1-6-4(9)7(3)2-8/h1-2H,5H2,(H,6,9)	InChI=1S/C4H5N3O2/c5-3-1-6-4(9)7(3)2-8/h1-2H,5H2,(H,6,9)
5580	C1	C5 N2 O1 H8	0.8024	68.57	-4.87355927665653	0.816341587379654	5.68990086403619	3.58621580474507	-238411.435272365	-238406.44217948	-238405.849810536	-238431.77222691	29.235	CNC1=C(N)OC=C1	CNc1c(N)occ1	InChI=1S/C5H8N2O/c1-7-4-2-3-8-5(4)6/h2-3,7H,6H2,1H3	InChI=1S/C5H8N2O/c1-7-4-2-3-8-5(4)6/h2-3,7H,6H2,1H3
111264	C1	C6 N2 O1 H10	2.9659	77.92	-5.8885439836319	0.503410645550787	6.39195462918269	4.30846041848609	-263030.332490534	-263024.627174395	-263024.034177942	-263051.611964309	34.183	CCN1C2CC2(O)C1=N	CCN1[C@H]2C[C@@]2(O)[C]1[NH]	InChI=1S/C6H10N2O/c1-2-8-4-3-6(4,9)5(8)7/h4,7,9H,2-3H2,1H3	InChI=1S/C6H10N2O/c1-2-8-4-3-6(4,9)5(8)7/h4,7,9H,2-3H2,1H3/t4-,6-/m0/s1
98801	Cs	C6 O1 N2 H10	3.3268	80.33	-6.76202948212813	-0.356469159822449	6.40556032230569	4.32119534724921	-263081.573031657	-263075.649342222	-263075.056345769	-263103.685210504	33.524	CCC(=O)N1CCC1=N	CCC(=O)N1CC[C]1[NH]	InChI=1S/C6H10N2O/c1-2-6(9)8-4-3-5(8)7/h7H,2-4H2,1H3	InChI=1S/C6H10N2O/c1-2-6(9)8-4-3-5(8)7/h7H,2-4H2,1H3
69813	C1	C7 O1 N1 H9	3.0572	76.92	-6.593318887403	-0.0734707428641689	6.51984814453884	4.049598501128	-252205.651618295	-252200.991732941	-252200.398736488	-252225.396203897	29.964	CC12OC1C1NC1C=C2	C[C@]12O[C@H]1[C@H]1N[C@H]1C=C2	InChI=1S/C7H9NO/c1-7-3-2-4-5(8-4)6(7)9-7/h2-6,8H,1H3	InChI=1S/C7H9NO/c1-7-3-2-4-5(8-4)6(7)9-7/h2-6,8H,1H3/t4-,5-,6-,7+/m0/s1
60454	C1	C8 O1 H16	1.6875	90.49	-7.12666205782438	2.30752555365982	9.4341876114842	6.18054936943761	-244403.631171823	-244396.763708138	-244396.171339195	-244426.951306407	39.603	CC(C)CCCC1CO1	CC(C)CCC[C@H]1CO1	InChI=1S/C8H16O/c1-7(2)4-3-5-8-6-9-8/h7-8H,3-6H2,1-2H3	InChI=1S/C8H16O/c1-7(2)4-3-5-8-6-9-8/h7-8H,3-6H2,1-2H3/t8-/m0/s1
132732	C1	C6 N2 F1 H7	2.0875	76.09	-5.82323665664153	-0.185037426472722	5.63819923016881	3.40093347579613	-277421.990566568	-277416.990571078	-277416.398202135	-277442.171898763	30.768	CC1=C(N)C(F)=CC=N1	Cc1c(N)c(F)ccn1	InChI=1S/C6H7FN2/c1-4-6(8)5(7)2-3-9-4/h2-3H,8H2,1H3	InChI=1S/C6H7FN2/c1-4-6(8)5(7)2-3-9-4/h2-3H,8H2,1H3
28735	C1	N2 C5 O2 H6	3.2071	71	-5.64364150741801	-0.819062726004253	4.82457878141376	3.05175696748761	-284878.933513101	-284873.579602269	-284872.986605816	-284900.681108944	29.988	NC1=CN=C(CC=O)O1	Nc1cnc(CC=O)o1	InChI=1S/C5H6N2O2/c6-4-3-7-5(9-4)1-2-8/h2-3H,1,6H2	InChI=1S/C5H6N2O2/c6-4-3-7-5(9-4)1-2-8/h2-3H,1,6H2
50533	C1	O2 C6 N1 H9	2.538	72.14	-6.8409425022415	-0.974167627606387	5.86677487463511	4.0133257232621	-275499.757109917	-275494.37245112	-275493.780082176	-275521.351593448	30.625	O=CC1COC1C1CN1	O=C[C@H]1CO[C@H]1[C@H]1CN1	InChI=1S/C6H9NO2/c8-2-4-3-9-6(4)5-1-7-5/h2,4-7H,1,3H2	InChI=1S/C6H9NO2/c8-2-4-3-9-6(4)5-1-7-5/h2,4-7H,1,3H2/t4-,5+,6+/m0/s1
30354	C1	O1 C7 N1 H9	3.1354	78.4	-5.60826670529822	0.889812330243823	6.49807903554205	4.10704173749329	-252252.082926809	-252247.298794579	-252246.706425636	-252272.155699866	30.226	OC1CCC2=CNC=C12	O[C@H]1CCc2c[nH]cc12	InChI=1S/C7H9NO/c9-7-2-1-5-3-8-4-6(5)7/h3-4,7-9H,1-2H2	InChI=1S/C7H9NO/c9-7-2-1-5-3-8-4-6(5)7/h3-4,7-9H,1-2H2/t7-/m0/s1
116526	C1	C5 N3 O1 H11	1.4245	81.84	-6.17970581646398	-0.4707569820556	5.70894883440838	4.6217723197224	-273891.46538812	-273884.972547592	-273884.380178649	-273913.96787786	37.205	CCN=C(N)C(=N)OC	CCN=C(N)[C]([NH])OC	InChI=1S/C5H11N3O/c1-3-8-4(6)5(7)9-2/h7H,3H2,1-2H3,(H2,6,8)	InChI=1S/C5H11N3O/c1-3-8-4(6)5(7)9-2/h7H,3H2,1-2H3,(H2,6,8)
10304	C1	C6 N2 H12	3.3692	75.63	-6.3620221043121	0.89525460749302	7.25727671180512	4.78014258767406	-216610.022334737	-216603.86207423	-216603.269705287	-216631.667019026	34.754	CCC(C#N)N(C)C	CC[C@@H](C#N)N(C)C	InChI=1S/C6H12N2/c1-4-6(5-7)8(2)3/h6H,4H2,1-3H3	InChI=1S/C6H12N2/c1-4-6(5-7)8(2)3/h6H,4H2,1-3H3/t6-/m0/s1
125284	Cs	C5 O2 N2 H4	4.405	76.74	-5.80963096351854	-2.09799787956571	3.71163308395283	2.40325521047321	-284120.054303134	-284115.138393914	-284114.54602497	-284140.511739498	28.177	CC1=CC2=C(ON=N2)O1	C[C]1C=C(C(=O)O1)[N][N]	InChI=1S/C5H4N2O2/c1-3-2-4-5(8-3)9-7-6-4/h2H,1H3	InChI=1S/C5H4N2O2/c1-3-2-4(7-6)5(8)9-3/h2H,1H3
101052	C1	C8 N1 H13	4.021	86.48	-7.67088978274415	0.998657875227777	8.66954765797192	5.24847775635376	-230440.179913304	-230433.749823723	-230433.15745478	-230462.282679509	37.786	CCC(C)C1(CC1)C#N	CC[C@@H](C)C1(CC1)C#N	InChI=1S/C8H13N/c1-3-7(2)8(6-9)4-5-8/h7H,3-5H2,1-2H3	InChI=1S/C8H13N/c1-3-7(2)8(6-9)4-5-8/h7H,3-5H2,1-2H3/t7-/m1/s1
46405	C1	N3 C5 O1 H7	4.6828	71.29	-7.0831238398308	0.0217691089967908	7.10489294882759	3.40085184163739	-272372.991607385	-272367.618871268	-272367.026502324	-272394.536517667	30.214	N=C1OCC1NCC#N	[NH][C]1OC[C@H]1NCC#N	InChI=1S/C5H7N3O/c6-1-2-8-4-3-9-5(4)7/h4,7-8H,2-3H2	InChI=1S/C5H7N3O/c6-1-2-8-4-3-9-5(4)7/h4,7-8H,2-3H2/t4-/m1/s1
22629	C1	C7 N1 O1 H9	1.309	84.55	-5.92391878575169	-0.868043221247032	5.05587556450466	4.01623734159042	-252205.278250158	-252200.116984734	-252199.52461579	-252225.603909532	32.27	CC12CC1C(C=C2)=NO	C[C@]12C[C@H]1C(=NO)C=C2	InChI=1S/C7H9NO/c1-7-3-2-6(8-9)5(7)4-7/h2-3,5,9H,4H2,1H3	InChI=1S/C7H9NO/c1-7-3-2-6(8-9)5(7)4-7/h2-3,5,9H,4H2,1H3/t5-,7-/m0/s1
125332	Cs	C6 N3 H7	3.8252	78.02	-6.19059037096238	-0.63674643815613	5.55384393280625	3.46036314335737	-249101.541090305	-249097.093930663	-249096.501561719	-249121.275635755	27.107	CC1=CN2N=CN=C2C1	CC1=Cn2ncnc2C1	InChI=1S/C6H7N3/c1-5-2-6-7-4-8-9(6)3-5/h3-4H,2H2,1H3	InChI=1S/C6H7N3/c1-5-2-6-7-4-8-9(6)3-5/h3-4H,2H2,1H3
13979	C1	C7 O1 H12	1.7341	75.47	-6.62597255089819	2.32929466265661	8.9552672135548	4.79725854962278	-218987.139919174	-218981.856916912	-218981.263920459	-219008.051672398	31.265	CCCC12CCC1O2	CCC[C@]12CC[C@H]1O2	InChI=1S/C7H12O/c1-2-4-7-5-3-6(7)8-7/h6H,2-5H2,1H3	InChI=1S/C7H12O/c1-2-4-7-5-3-6(7)8-7/h6H,2-5H2,1H3/t6-,7+/m1/s1
74872	C1	N3 C5 O1 H7	1.8253	72.73	-5.98650497411746	-0.40000737781603	5.58649759630143	3.4357096274185	-272400.841732863	-272396.138549354	-272395.546180411	-272420.810339346	29.303	NC1=NC2CC2N1C=O	NC1=N[C@H]2C[C@H]2N1C=O	InChI=1S/C5H7N3O/c6-5-7-3-1-4(3)8(5)2-9/h2-4H,1H2,(H2,6,7)	InChI=1S/C5H7N3O/c6-5-7-3-1-4(3)8(5)2-9/h2-4H,1H2,(H2,6,7)/t3-,4+/m0/s1
106925	C1	C7 N1 O1 H11	4.183	78.93	-6.71849126413455	-0.152383762977535	6.56610750115702	4.65660289411727	-252992.627564964	-252987.177017672	-252986.584648729	-253013.740121219	32.889	CCC12CN1C(=O)CC2	CC[C@@]12CN1C(=O)CC2	InChI=1S/C7H11NO/c1-2-7-4-3-6(9)8(7)5-7/h2-5H2,1H3	InChI=1S/C7H11NO/c1-2-7-4-3-6(9)8(7)5-7/h2-5H2,1H3/t7-,8?/m1/s1
116372	C1	C7 O2 H12	0.2732	81.46	-6.50624245141584	0.582323665664153	7.08856611708	4.97467678794663	-266196.294117344	-266190.568093393	-266189.97572445	-266217.817064795	33.766	COC1COCC=CC1	CO[C@H]1COCC=CC1	InChI=1S/C7H12O2/c1-8-7-4-2-3-5-9-6-7/h2-3,7H,4-6H2,1H3	InChI=1S/C7H12O2/c1-8-7-4-2-3-5-9-6-7/h2-3,7H,4-6H2,1H3/t7-/m1/s1
104046	C1	C7 O2 H12	2.2585	77.99	-6.52529042178803	1.86942223509941	8.39471265688744	4.95293489033608	-266181.084542712	-266175.436329936	-266174.843333483	-266202.119287792	34.297	CC1(CO)CC2COC12	C[C@@]1(CO)C[C@H]2CO[C@@H]12	InChI=1S/C7H12O2/c1-7(4-8)2-5-3-9-6(5)7/h5-6,8H,2-4H2,1H3	InChI=1S/C7H12O2/c1-7(4-8)2-5-3-9-6(5)7/h5-6,8H,2-4H2,1H3/t5-,6+,7-/m0/s1
