gender,years_exp,education,test_score,age,career_break_months,senior_hire
M,6.47,0,59.7,37.9,10,0
M,3.6,0,75.7,34.1,5,0
M,2.28,1,86.4,42.9,7,0
F,5.92517395982783,1,84.7,41.5,27,0
M,3.72,1,95.8,27.7,6,0
M,2.23,1,71.7,33.2,7,0
M,2.34,0,70.4,28,5,0
M,4.27,0,80.1,40,7,0
F,1.14517395982783,0,68.2,43.9,20,0
F,2.40517395982783,1,67.3,34.1,22,0
F,1.68517395982783,0,55.4,44.5,9,0
M,5.96,1,79.9,40.1,9,1
M,6.52,2,55.1,31.9,4,1
M,10.52,1,74.1,44.9,6,0
F,2.03517395982783,2,51,44.5,19,0
M,3.8,1,81.2,33.2,4,0
M,7.78,2,55.7,26.7,6,1
M,4.96,0,78.1,33.3,3,0
M,4.68,1,48.9,37.2,5,0
M,9.77,2,62.7,33.6,9,1
F,4.92517395982783,1,82.1,34.2,36,0
F,2.88517395982783,2,58.3,37,21,0
F,2.48517395982783,0,68.8,45.3,34,0
F,6.61517395982783,0,62.3,37.6,25,0
F,6.53517395982783,2,40.3,32.3,21,1
F,2.34517395982783,1,71.7,43.1,8,0
M,3.04,1,73.2,48.6,4,0
F,7.11517395982783,2,54.7,43.9,27,0
M,6.94,0,74.9,40.1,4,0
F,4.16517395982783,2,58.5,31.2,15,0
M,7.06,1,56,45.4,3,0
F,7.20517395982783,0,68.1,39.3,32,0
F,1.31517395982783,0,59.8,36.7,19,0
M,4.72,1,95.5,43.3,5,0
M,6.54,1,49.3,24.9,12,0
M,4.07,2,76.9,32.7,10,1
M,0.15,0,79.9,21,2,0
M,4.79,0,44.2,31.1,4,0
F,7.65517395982783,0,47.2,43.4,46,0
M,9.45,1,74.7,41.7,10,0
F,0.295173959827833,1,62.2,32.1,17,0
M,12.03,1,72.6,29.9,7,0
M,2.68,1,81.7,31.2,13,0
M,7.89,1,63.5,37,9,0
F,8.86517395982783,0,55.2,44.6,34,0
F,8.23517395982783,0,35.2,42.2,33,0
F,6.14517395982783,2,70.5,34.3,38,0
F,2.87517395982783,0,56.9,33.3,13,0
M,7.07,2,71.8,39.7,1,1
M,3.71,1,70.8,32.9,4,0
F,0.275173959827833,0,51.4,29.5,24,0
M,12.57,0,88.7,33.5,5,0
M,7.27,0,81,39.9,5,0
F,10.3251739598278,0,78.2,45.2,40,0
M,3.22,1,53.8,36.5,5,0
M,9.17,1,63.1,33.3,11,0
F,9.74517395982783,1,61.4,30.8,29,0
M,9.39,1,63,36.9,8,0
M,5.45,0,54.5,35.5,8,0
M,2.49,0,73.2,36.5,4,0
F,5.33517395982783,2,70.8,35.4,16,0
M,0,0,72.4,47,7,0
M,1.24,1,61.9,33.2,1,0
M,5.73,1,83.5,31.8,2,0
M,3.02,1,70.3,43.5,2,0
F,5.36517395982783,0,35.1,48.1,20,0
M,5.23,1,60.3,30.8,8,0
M,10.33,1,67.3,45.3,3,0
M,8.74,2,79.6,33.8,1,1
F,5.66517395982783,0,64.4,41.5,17,0
F,8.79517395982783,0,65,38.5,75,0
M,3.55,0,60,35.4,4,0
F,4.93517395982783,2,76,38.2,16,0
M,7.78,0,62.6,39.4,1,0
M,2.4,0,60.8,42.3,9,0
F,5.07517395982783,1,59.1,35.4,29,0
F,2.47517395982783,2,74.7,28.3,10,0
M,5.79,1,61.6,41,7,0
M,9.58,0,47.9,33.8,11,0
F,3.89517395982783,1,75.5,40.1,26,0
F,6.33517395982783,0,59.6,29.8,32,0
F,3.53517395982783,0,72.3,49.6,35,0
M,2.63,2,72.5,32.8,5,1
M,2.41,1,82.4,37.1,2,1
F,9.41517395982783,0,80.5,26.8,27,0
F,11.6851739598278,2,61.1,34.9,9,1
M,6.71,2,66,35.8,3,1
F,3.98517395982783,2,52.5,36.8,14,1
F,7.53517395982783,0,88.1,33,19,0
F,4.93517395982783,0,73.3,36.8,41,0
M,7.5,1,84.7,31.1,9,1
F,6.50517395982783,1,64.2,40.8,24,0
M,6.2,2,43.4,37.5,9,0
M,7.02,2,86.4,41,5,1
F,4.32517395982783,2,69.1,45.5,19,0
F,4.76517395982783,0,69.6,37.6,25,0
M,1.2,1,68.7,36,3,0
F,4.67517395982783,0,75.7,36.7,22,0
F,2.21517395982783,1,74.4,38.9,25,0
F,5.41517395982783,0,48.9,37,13,0
F,3.38517395982783,0,81,32.2,7,0
M,5.75,0,61.7,44.4,11,0
F,6.90517395982783,0,62.4,36.7,2,0
F,2.22517395982783,0,88.7,44.3,32,0
M,3.47,1,79,37.5,8,0
M,3.14,0,63.9,34.1,5,0
F,7.64517395982783,0,45.7,37.4,24,0
F,10.0451739598278,1,69.9,36.7,19,0
M,7.63,1,74.5,35.6,6,1
F,4.90517395982783,1,67,35.9,10,0
M,9.16,1,53,31.6,5,0
F,1.98517395982783,1,58.5,40.2,26,0
M,9.25,1,52.9,28.8,7,0
M,3.86,1,70.6,37.9,4,0
M,0,0,77.8,29.9,4,0
M,12.13,0,80.3,32.9,7,0
F,9.72517395982783,1,59.2,39.2,12,0
F,3.19517395982783,0,70.8,39.4,17,0
M,5.92,1,74.6,34.5,8,0
M,4.96,0,61.9,37.3,7,0
F,6.03517395982783,1,66.2,34.7,15,0
F,2.06517395982783,2,93.5,22.5,17,0
M,3.8,1,70.5,37.8,2,0
M,6.67,1,78.6,35.3,4,0
M,6.06,0,62.8,23.4,6,0
F,8.77517395982783,2,68.5,32.9,16,1
F,5.97517395982783,1,47.4,36.4,11,0
M,11.37,1,67.7,33.8,2,1
M,3.71,2,82.3,30.3,6,0
M,6.15,1,93.2,34.3,5,0
M,0.71,2,82.4,40.9,7,0
M,2.37,1,76.2,39.8,3,0
M,8.82,2,68.6,36.3,6,1
M,3.14,1,60.8,38,3,0
F,7.10517395982783,1,66.1,31.1,12,0
M,5.35,2,75.4,26.1,3,1
F,3.16517395982783,0,58.6,40.8,6,0
M,4.63,1,79.2,36.2,9,0
M,4.21,1,56.2,38.7,9,0
M,4.28,0,46.6,30.8,5,0
F,7.65517395982783,1,55.9,31.2,18,0
F,7.40517395982783,1,48,23.3,6,0
F,4.33517395982783,2,51.5,41.6,8,0
F,3.50517395982783,1,81.6,35.2,40,0
M,6.21,1,65.6,37.4,2,1
M,5.25,2,70.6,32.7,6,1
F,8.34517395982783,1,81.9,36.7,21,0
M,12.14,2,83.1,41,14,1
M,7.61,1,61.9,41.7,6,0
F,5.68517395982783,0,83.9,25.9,49,0
M,5.07,0,72.6,31.8,8,0
M,3.36,0,68,43.8,6,0
F,3.50517395982783,1,73.3,34.4,49,0
F,3.26517395982783,0,50.9,35.7,26,0
M,4.51,2,58.6,33.9,1,0
M,4.43,2,66.7,47.4,6,1
F,7.63517395982783,0,75.3,37,13,0
M,4.5,0,63.5,32.1,9,0
M,5.01,0,66.5,35.4,4,0
M,2.45,2,79.6,36.3,1,1
F,9.88517395982783,0,84.9,42.1,22,0
F,7.04517395982783,1,77.2,32.7,25,0
M,9.97,0,83.2,30.5,6,0
F,7.76517395982783,0,63.1,35.2,50,0
F,9.49517395982783,0,64.3,46.9,28,0
M,4.88,1,71.8,24.6,9,0
F,7.56517395982783,0,64.4,35.7,24,0
M,12.26,2,61.9,30.2,5,1
F,2.71517395982783,1,87.8,45.3,15,0
M,8.44,0,65.6,41.5,6,0
F,10.0151739598278,0,56.4,26,20,0
M,6.55,1,73.8,33,8,0
F,7.68517395982783,1,90,35.5,17,0
M,8.7,0,69,33,3,0
F,4.09517395982783,0,82.8,44.1,18,0
F,6.81517395982783,1,62.7,40.8,20,0
F,3.55517395982783,2,62.1,45.8,12,0
M,3.77,1,59.7,44.1,12,0
M,3.92,2,66.3,38,4,1
F,5.40517395982783,1,90,34.4,24,0
M,5.87,1,54.1,39.2,8,0
M,6.66,1,87.6,40.1,4,0
M,1.87,1,55.9,29.6,5,0
F,10.8451739598278,1,65.2,37.4,11,0
F,8.73517395982783,1,78,22.4,27,1
F,7.63517395982783,0,75.6,28.1,8,0
F,4.85517395982783,0,71.4,39.8,7,0
F,5.54517395982783,2,48.2,32.8,33,0
M,6.9,1,72.3,35.7,7,0
F,6.82517395982783,2,55.7,41.7,34,1
F,1.47517395982783,2,98.8,34.7,52,0
M,7.4,1,65.4,35.9,4,0
M,12.97,0,70.3,34,3,0
F,1.04517395982783,1,54.2,39.9,27,0
M,8.05,1,62.3,28.4,6,0
F,6.72517395982783,0,52.5,31.5,40,0
M,5.21,2,79.8,37.8,5,1
F,9.29517395982783,1,64.9,30.2,32,0
M,2.47,0,74.8,25,4,0
M,5.92,0,59.8,29.4,4,0
M,9.25,0,62,30.1,11,0
F,5.26517395982783,1,83.5,43.1,25,0
M,4.43,2,56.3,32.5,10,0
M,5.79,0,46.4,40,9,0
F,4.63517395982783,0,72.9,40,34,0
F,9.74517395982783,1,54.3,36.6,43,0
F,3.44517395982783,1,62.7,41.6,24,0
M,7.74,1,78.9,44.9,6,1
M,2.28,2,58.2,45.3,5,0
F,7.49517395982783,2,78.5,42,27,1
M,5.23,2,59.8,39.8,8,1
F,0.275173959827833,1,85.9,43.5,35,0
M,5.48,0,83.9,37.6,8,0
M,2.76,0,62.3,21,14,0
M,4.36,1,65.4,41.8,6,0
F,9.72517395982783,2,58,34.6,32,1
F,2.90517395982783,0,70.4,32.1,26,0
M,2.78,1,81.8,50.8,8,0
F,9.47517395982783,1,50.6,36.9,22,0
F,6.07517395982783,1,79,38.7,41,0
M,9.46,0,52.1,37.7,4,0
M,6.33,0,57.7,36.4,5,0
M,3.23,0,46.5,39.2,14,0
M,5.33,0,93.3,39.4,2,0
M,8.66,1,68.7,35.8,2,0
M,7.92,1,70.9,32.8,5,0
M,5.5,1,59.9,37.2,7,0
M,5.63,1,80.8,26.8,10,0
M,5.21,2,42.8,23.7,4,0
F,4.28517395982783,0,68.3,28.6,23,0
F,10.7351739598278,2,94.5,23.2,31,1
M,5.52,1,63.4,43.2,7,0
F,2.86517395982783,1,68.2,39,26,0
M,4.27,2,76.1,32.3,12,1
M,7.37,1,58.3,39.3,10,0
F,7.42517395982783,1,68.3,44,17,0
M,5.15,1,79.5,44.3,2,0
F,4.05517395982783,0,70.3,37.3,10,0
M,5.56,1,72.5,42.3,5,0
F,1.47517395982783,0,63.8,35,26,0
M,2.15,0,71.8,31.7,9,0
M,7.55,1,68.7,36.9,5,0
M,4.27,2,85.5,28,2,1
F,6.73517395982783,2,76.7,37.7,28,0
M,8.63,0,65.1,34.4,8,0
M,7.17,0,38.6,41.3,1,0
M,5.55,1,76.6,35.2,5,0
M,10.97,1,77.1,21,5,0
F,7.49517395982783,1,57,37.8,55,0
F,4.86517395982783,1,44,30.5,31,0
M,7.38,1,54.3,21.5,4,0
M,6.55,1,79.1,30.2,7,0
F,3.57517395982783,1,55.2,38.2,16,0
M,5.69,1,62.5,43,9,0
F,5.35517395982783,1,70.6,43.7,6,0
M,0.45,2,82.7,36.2,4,0
M,5.06,2,67.8,35.8,6,0
F,5.04517395982783,2,66.8,39,15,0
M,4.37,2,61.4,27.1,4,0
F,1.54517395982783,0,87.6,35.7,17,0
M,4.59,1,80.8,35.9,10,0
M,5.4,1,66.9,21.3,3,0
F,6.03517395982783,0,51.2,41.1,15,0
M,2.58,1,58.5,37.1,4,0
M,7.13,0,75,42.1,5,0
M,2.38,0,59.3,30.1,2,0
F,5.19517395982783,1,78.7,40.2,22,0
M,8.85,0,72.3,41.5,5,0
M,3.72,1,71.5,30.7,6,0
M,4.19,0,75.8,35.9,5,0
F,8.53517395982783,2,74,30.4,12,0
M,4.51,0,57.7,34.2,7,0
M,4.74,1,64.1,35.6,3,0
M,6.07,2,96.1,44.2,10,1
F,8.47517395982783,1,53.5,44.4,14,0
M,0,0,62.3,40.3,4,0
F,3.64517395982783,0,80.8,41.5,12,0
F,3.18517395982783,1,66.1,38.6,24,0
M,2.71,0,58.3,30.9,2,0
F,3.58517395982783,0,52.1,39.4,33,0
M,3.35,1,74.4,21,5,0
M,6.27,1,80.2,40.4,4,0
M,3.22,0,84.8,39.6,5,0
M,5.81,1,68.6,36,4,0
M,6.53,1,80.5,31.7,7,0
M,3.63,0,55.6,44.6,10,0
M,5.83,0,70,24.3,5,0
M,9.69,0,59.9,30.3,2,0
M,6.33,2,70.1,26.2,3,1
M,3.87,0,77,37.2,4,0
F,5.60517395982783,0,80.8,38,37,0
M,3.16,0,56.1,32.2,3,0
F,6.46517395982783,1,83.2,32.2,14,0
M,7.71,2,62.3,47.7,4,1
F,3.68517395982783,0,55.7,40.5,24,0
M,4.97,2,66,35.1,6,1
M,8.34,1,50.4,33.6,5,0
M,4.23,0,68.1,38.4,9,0
F,6.25517395982783,2,71.5,36.8,45,0
M,2.88,0,65.6,30.6,11,0
F,3.68517395982783,1,74.4,43.4,30,0
M,4.19,0,64.2,28.5,9,0
M,10.94,1,68,38.2,4,1
F,4.75517395982783,1,50.7,33.5,16,0
M,4.18,2,68.5,32.1,12,0
F,4.36517395982783,2,57.8,32,50,0
F,5.36517395982783,1,62.6,31.3,44,0
M,7.14,0,66.9,40.9,3,0
M,5.97,1,70.3,37,4,0
M,10.64,1,48.2,35.7,3,0
M,6.03,2,49.2,35.4,8,0
M,9.12,1,64.4,34.5,8,1
M,6.19,1,73.7,37.4,9,0
F,7.28517395982783,1,72.3,42.9,30,0
F,2.16517395982783,1,78.7,36.4,16,0
F,5.45517395982783,0,83.6,33.3,25,0
F,5.60517395982783,2,74,29,12,1
F,5.16517395982783,1,67.8,51.9,32,0
M,0.12,1,55.6,32.6,2,0
F,7.97517395982783,1,56.6,37.2,29,0
F,4.80517395982783,1,62.4,32.8,51,0
F,4.67517395982783,0,71.2,33.8,20,0
M,4.86,1,70.6,23.3,6,0
M,4.93,0,68.1,35.5,9,0
M,6.52,0,66.2,32.2,4,0
F,2.59517395982783,1,75.6,43.6,6,0
F,3.44517395982783,2,70.5,34.8,35,0
M,6.23,0,71.6,26.7,12,0
M,5.86,1,71.7,39.7,6,0
M,4.56,2,61.4,32.7,1,0
F,4.34517395982783,2,55.6,30.1,27,0
M,3.41,2,73.9,24.5,10,0
F,5.62517395982783,1,73,36,38,0
M,8.45,1,65.4,34.6,9,0
F,3.12517395982783,1,63,46.4,13,0
F,9.58517395982783,1,95.3,44.1,14,1
M,7.61,1,58.9,31,3,0
M,4.37,1,65.4,24.8,7,0
M,7.46,0,71.2,36.9,6,0
M,1.84,0,54.1,28.7,3,0
M,1.17,1,69.4,39.3,1,0
F,2.55517395982783,1,89.6,44.5,38,0
M,4.48,1,79.2,29.6,7,0
F,4.96517395982783,0,75.6,32.5,39,0
F,4.48517395982783,2,75.1,27.9,21,0
M,5.75,0,69.3,40.9,7,0
M,0.16,2,79.5,37.6,12,0
F,7.01517395982783,1,66.1,34.3,26,0
M,1.95,1,62.9,35.7,9,0
M,3.85,1,69.2,30.5,4,0
F,4.74517395982783,2,78.9,34,18,0
F,2.88517395982783,0,72,36.6,17,0
M,2.07,0,76.1,40.4,6,0
F,3.25517395982783,1,43.7,42,12,0
M,5.47,0,82.3,38,10,0
F,7.24517395982783,1,96.1,33.2,27,0
M,6.91,1,84,32.8,6,0
F,3.28517395982783,0,64.2,31.9,31,0
M,3.52,2,57.8,38.5,5,0
M,3.2,1,71.3,28.8,6,0
M,6.62,0,56.2,27.3,6,0
F,0.685173959827833,1,76.7,30,34,0
M,8.6,1,61.7,34.4,7,0
F,4.56517395982783,1,79.5,40.9,16,0
F,3.81517395982783,1,84.3,39,9,0
F,6.62517395982783,2,43.6,41.9,57,0
F,8.35517395982783,0,71.5,28.8,21,0
F,6.63517395982783,2,59.6,33.6,15,0
M,8.13,1,51.1,35.4,5,0
M,5.84,0,60.6,37.6,8,0
F,8.84517395982783,1,65.4,44.2,37,0
F,8.88517395982783,1,80.4,38.9,40,0
F,5.52517395982783,2,49.7,43.6,17,0
M,9.1,1,80.6,35.4,2,0
M,5.91,0,92.2,42.4,5,0
M,5.72,1,75.2,27.3,6,0
M,3.2,1,74.6,38.4,7,0
M,4.78,2,67.8,36.4,1,1
M,7.44,0,53.9,43.1,6,0
M,2.22,2,74.4,35.7,4,0
F,7.39517395982783,2,72.6,42.3,14,0
F,6.64517395982783,0,76.8,40.9,21,0
F,6.46517395982783,1,98.8,32.8,20,0
M,0,0,76.7,36.9,6,0
F,5.51517395982783,1,73.1,35.8,26,0
F,7.39517395982783,0,86.7,38.4,37,0
M,3.59,2,51.9,45.6,10,0
F,6.00517395982783,0,54.3,50.6,20,0
F,0.275173959827833,1,63.5,41,9,0
F,7.45517395982783,1,60.1,35.9,31,0
F,4.11517395982783,0,76.3,37.6,23,0
M,7.68,0,64.2,39.8,3,0
F,1.16517395982783,2,88.9,39.1,12,0
F,7.50517395982783,0,86.2,35.3,16,0
F,5.18517395982783,0,77.2,40.9,47,0
M,7.52,0,63.4,38.7,8,0
F,3.46517395982783,1,75.4,43.1,46,0
M,3.95,1,77.7,32.7,6,0
F,11.3851739598278,0,55.2,51.3,29,0
F,3.70517395982783,1,72.2,45.7,19,0
M,3.73,1,76.5,35.8,7,0
F,5.08517395982783,1,70.6,38.4,40,0
M,2.94,1,86.9,25.1,3,0
F,8.75517395982783,0,82.6,32.8,16,0
F,10.0851739598278,0,58.1,29.3,39,0
M,3.74,1,69.5,29.9,3,0
F,1.45517395982783,1,58,42.5,10,0
M,8.43,1,75,38.9,9,0
M,8.27,2,57.6,24.3,5,0
M,7.55,0,79.1,35.6,10,0
F,8.66517395982783,2,72.7,43.9,22,0
M,3.33,1,79.7,35.1,4,0
M,5.08,2,66.3,37.3,4,1
M,2.04,2,50.5,24.8,2,0
F,2.22517395982783,0,89.2,45.5,22,0
M,7.95,2,65.9,22.8,2,0
M,3.82,1,84.5,41.7,6,0
F,11.4751739598278,1,73.2,38.5,53,0
F,5.96517395982783,2,76.1,36.7,30,0
F,4.17517395982783,1,90,36.1,10,0
M,7.49,1,72.1,35.7,4,1
M,10,0,84.8,37.5,6,0
M,6.72,1,50.2,44.7,6,0
M,2.46,0,78.5,36,4,0
M,6.43,1,65.1,23.2,3,0
M,8.94,1,66.4,33.1,5,0
M,4.27,2,68.1,39.9,4,1
M,3.57,1,72.2,32.4,6,0
M,8.04,1,87.9,33.2,5,0
F,6.12517395982783,0,45.8,41.6,39,0
M,2.74,0,68.5,31.4,5,0
F,4.82517395982783,2,59.4,24.2,51,0
M,3.61,0,82,43.8,5,0
M,6.24,2,62.9,42.5,7,1
F,6.04517395982783,1,73.5,26.1,24,0
M,8.38,1,63.2,24.1,6,0
M,7.27,1,76,46.4,9,0
F,1.86517395982783,1,80.2,21.7,8,0
F,6.79517395982783,1,63.2,33.9,20,0
F,8.01517395982783,1,68.6,35.8,24,0
F,6.91517395982783,1,51,43.7,20,0
F,8.35517395982783,0,71.7,36.8,22,0
F,4.40517395982783,0,78.3,39.7,26,0
M,3.12,1,61.3,30.4,4,0
F,8.10517395982783,0,81.4,35.8,19,0
M,2.84,1,43.1,47.2,9,0
M,0.1,1,45.8,27.1,3,0
M,8.06,1,51.3,41.6,12,0
F,3.96517395982783,0,62.2,33.6,12,0
F,5.00517395982783,1,68.2,29.9,24,0
M,2.01,1,67.1,31.6,8,0
F,2.46517395982783,0,67.2,38,20,0
F,2.88517395982783,2,76.7,36.3,13,0
M,4.6,1,62.3,34.1,7,0
M,6.42,0,52.8,40.3,4,0
F,0.275173959827833,1,53.1,30.2,22,0
F,7.65517395982783,1,93.4,33.2,42,0
M,2.55,1,39.8,30.6,2,0
F,3.10517395982783,1,65.9,30.1,20,0
M,7.19,2,85.5,36.9,5,1
F,5.58517395982783,1,73.8,31.4,14,0
M,1.66,1,58,36.8,5,0
F,10.3851739598278,2,68,44,38,1
M,3.35,1,78.4,42.1,5,0
F,6.39517395982783,0,82.5,38.8,21,0
M,6,0,57.2,43.2,8,0
M,9.03,1,77.1,46.3,8,1
F,4.63517395982783,2,71,39.7,18,0
F,8.29517395982783,1,81.3,30.8,36,0
M,3.65,0,84.7,36.8,7,0
M,8.31,2,63.9,37.5,5,1
F,3.86517395982783,1,50.6,33.1,58,0
M,4.59,0,72.8,31.6,1,0
M,10.24,1,89.3,30.4,3,1
M,6.29,0,76.2,27.1,13,0
F,6.04517395982783,0,70.8,43.8,17,0
M,11.11,1,96.8,33.6,5,1
M,6.4,1,55.5,35.9,11,1
M,3.46,2,78.8,35.1,10,1
F,7.61517395982783,0,61.2,32.4,33,0
M,2.55,2,68.6,38.4,7,0
M,8.32,1,69.1,26.9,5,0
F,8.78517395982783,0,86.2,32.8,27,0
F,4.34517395982783,1,56.8,40.5,29,0
M,3.93,1,61.6,45.4,5,0
M,5.94,0,48.9,36.8,8,0
F,5.81517395982783,0,73.8,43.6,15,0
M,3.06,2,62.5,41.6,4,1
