gender,years_exp,education,test_score,age,career_break_months,senior_hire_old,hire_score,senior_hire
M,2.4,0,60.8,42.3,9,0,4.397121145267853,0
F,5.07517395982783,1,59.1,35.4,29,0,8.92086542357874,0
F,2.47517395982783,2,74.7,28.3,10,0,14.278061871408802,0
M,5.79,1,61.6,41.0,7,0,7.691543217286738,0
M,9.58,0,47.9,33.8,11,0,5.208909509218019,0
F,3.89517395982783,1,75.5,40.1,26,0,15.491081203970511,0
F,6.33517395982783,0,59.6,29.8,32,0,4.764741817365854,0
F,3.53517395982783,0,72.3,49.6,35,0,4.635015823004636,0
M,2.63,2,72.5,32.8,5,0,18.06382705664263,1
M,2.41,1,82.4,37.1,2,0,16.783134338480814,1
F,9.41517395982783,0,80.5,26.8,27,0,7.999453722263233,0
F,11.6851739598278,2,61.1,34.9,9,0,17.38308906633784,1
M,6.71,2,66.0,35.8,3,0,16.65811110188102,1
F,3.98517395982783,2,52.5,36.8,14,0,17.1249822687251,1
F,7.53517395982783,0,88.1,33.0,19,0,7.96087282305744,0
F,4.93517395982783,0,73.3,36.8,41,0,7.108031288029696,0
M,7.5,1,84.7,31.1,9,0,15.23367515212349,1
F,6.50517395982783,1,64.2,40.8,24,0,12.616119128847151,0
M,6.2,2,43.4,37.5,9,0,13.385687857539802,0
M,7.02,2,86.4,41.0,5,0,17.29035407096792,1
F,4.32517395982783,2,69.1,45.5,19,0,12.24979536317395,0
F,4.76517395982783,0,69.6,37.6,25,0,6.778239491964585,0
M,1.2,1,68.7,36.0,3,0,8.87622501998209,0
F,4.67517395982783,0,75.7,36.7,22,0,8.100926759166427,0
F,2.21517395982783,1,74.4,38.9,25,0,9.204932542275884,0
F,5.41517395982783,0,48.9,37.0,13,0,7.0736640250041924,0
F,3.38517395982783,0,81.0,32.2,7,0,9.388018615553573,0
M,5.75,0,61.7,44.4,11,0,7.504858655336933,0
F,6.90517395982783,0,62.4,36.7,2,0,8.524099796712322,0
F,2.22517395982783,0,88.7,44.3,32,0,7.42789767506965,0
M,3.47,1,79.0,37.5,8,0,11.265168786182828,0
M,3.14,0,63.9,34.1,5,0,4.599883932914306,0
F,7.64517395982783,0,45.7,37.4,24,0,7.654575503260531,0
F,10.0451739598278,1,69.9,36.7,19,0,13.72101378308692,0
M,7.63,1,74.5,35.6,6,0,17.21633661786119,1
F,4.90517395982783,1,67.0,35.9,10,0,14.2892967848644,0
M,9.16,1,53.0,31.6,5,0,13.061693105113003,0
F,1.98517395982783,1,58.5,40.2,26,0,7.56147256052438,0
M,9.25,1,52.9,28.8,7,0,10.103177056033164,0
M,3.86,1,70.6,37.9,4,0,13.25428590617773,0
M,0.0,0,77.8,29.9,4,0,5.971498450294278,0
M,12.13,0,80.3,32.9,7,0,12.646286806783221,0
F,9.72517395982783,1,59.2,39.2,12,0,9.51741500596553,0
F,3.19517395982783,0,70.8,39.4,17,0,8.408463943030277,0
M,5.92,1,74.6,34.5,8,0,13.090840676428726,0
M,4.96,0,61.9,37.3,7,0,4.592138631171045,0
F,6.03517395982783,1,66.2,34.7,15,0,10.708537365014017,0
F,2.06517395982783,2,93.5,22.5,17,0,16.105021388626955,0
M,3.8,1,70.5,37.8,2,0,10.939933596712487,0
M,6.67,1,78.6,35.3,4,0,12.252657628392889,0
M,6.06,0,62.8,23.4,6,0,7.219023463868078,0
F,8.77517395982783,2,68.5,32.9,16,0,16.67863222350015,1
F,5.97517395982783,1,47.4,36.4,11,0,10.610712004118852,0
M,11.37,1,67.7,33.8,2,0,17.366983945986313,1
M,3.71,2,82.3,30.3,6,0,10.482683118137405,0
M,6.15,1,93.2,34.3,5,0,13.125299470980632,0
M,0.71,2,82.4,40.9,7,0,14.476024842744895,0
M,2.37,1,76.2,39.8,3,0,11.110987979374201,0
M,8.82,2,68.6,36.3,6,0,16.46817083735742,1
M,3.14,1,60.8,38.0,3,0,6.312556435042835,0
F,7.10517395982783,1,66.1,31.1,12,0,12.835577947342133,0
M,5.35,2,75.4,26.1,3,0,19.407700428328372,1
F,3.16517395982783,0,58.6,40.8,6,0,2.6168641700816395,0
M,4.63,1,79.2,36.2,9,0,13.586656027396376,0
M,4.21,1,56.2,38.7,9,0,9.381949553754215,0
M,4.28,0,46.6,30.8,5,0,5.2793513083423065,0
F,7.65517395982783,1,55.9,31.2,18,0,9.634789958506017,0
F,7.40517395982783,1,48.0,23.3,6,0,10.393674635202164,0
F,4.33517395982783,2,51.5,41.6,8,0,16.372676169311834,0
F,3.50517395982783,1,81.6,35.2,40,0,12.629897463889328,0
M,6.21,1,65.6,37.4,2,0,15.161623210819887,1
M,5.25,2,70.6,32.7,6,0,17.92182377795539,1
F,8.34517395982783,1,81.9,36.7,21,0,14.783760337773069,0
M,12.14,2,83.1,41.0,14,0,23.374869052335583,1
M,7.61,1,61.9,41.7,6,0,13.015986317476598,0
F,5.68517395982783,0,83.9,25.9,49,0,10.371563333508034,0
M,5.07,0,72.6,31.8,8,0,7.023858092930583,0
M,3.36,0,68.0,43.8,6,0,6.57309163171841,0
F,3.50517395982783,1,73.3,34.4,49,0,9.488739333313362,0
F,3.26517395982783,0,50.9,35.7,26,0,7.174754849103621,0
M,4.51,2,58.6,33.9,1,0,12.000392753770267,0
M,4.43,2,66.7,47.4,6,0,16.448700684835323,1
F,7.63517395982783,0,75.3,37.0,13,0,8.707284864903595,0
M,4.5,0,63.5,32.1,9,0,9.037494186934639,0
M,5.01,0,66.5,35.4,4,0,8.66173797746252,0
M,2.45,2,79.6,36.3,1,0,18.438292315293605,1
F,9.88517395982783,0,84.9,42.1,22,0,12.347136362191208,0
F,7.04517395982783,1,77.2,32.7,25,0,9.782506468607433,0
M,9.97,0,83.2,30.5,6,0,10.6750936542036,0
F,7.76517395982783,0,63.1,35.2,50,0,5.955572594724283,0
F,9.49517395982783,0,64.3,46.9,28,0,8.212027295181368,0
M,4.88,1,71.8,24.6,9,0,14.488456866553445,0
F,7.56517395982783,0,64.4,35.7,24,0,9.565654601709308,0
M,12.26,2,61.9,30.2,5,0,17.065139142842508,1
F,2.71517395982783,1,87.8,45.3,15,0,9.476152247033118,0
M,8.44,0,65.6,41.5,6,0,8.87756418575252,0
F,10.0151739598278,0,56.4,26.0,20,0,6.522466681151644,0
M,6.55,1,73.8,33.0,8,0,11.09871944520684,0
F,7.68517395982783,1,90.0,35.5,17,0,14.766605923016403,0
M,8.7,0,69.0,33.0,3,0,11.490624072213393,0
F,4.09517395982783,0,82.8,44.1,18,0,9.061109924362794,0
F,6.81517395982783,1,62.7,40.8,20,0,7.214007962717715,0
F,3.55517395982783,2,62.1,45.8,12,0,14.733320437974434,0
M,3.77,1,59.7,44.1,12,0,10.208067146465156,0
M,3.92,2,66.3,38.0,4,0,15.428780570745387,1
F,5.40517395982783,1,90.0,34.4,24,0,16.23500634321633,0
M,5.87,1,54.1,39.2,8,0,6.595523446390516,0
M,6.66,1,87.6,40.1,4,0,12.279793149617788,0
M,1.87,1,55.9,29.6,5,0,10.02981264558671,0
F,10.8451739598278,1,65.2,37.4,11,0,10.823398181006016,0
F,8.73517395982783,1,78.0,22.4,27,0,16.779485076020933,1
F,7.63517395982783,0,75.6,28.1,8,0,9.84630020531523,0
F,4.85517395982783,0,71.4,39.8,7,0,9.118754951600724,0
F,5.54517395982783,2,48.2,32.8,33,0,13.004699656870326,0
M,6.9,1,72.3,35.7,7,0,14.13852737993242,0
F,6.82517395982783,2,55.7,41.7,34,0,17.448530091891993,1
F,1.47517395982783,2,98.8,34.7,52,0,16.119343020188253,0
M,7.4,1,65.4,35.9,4,0,12.746801785397395,0
M,12.97,0,70.3,34.0,3,0,11.946686478563452,0
F,1.04517395982783,1,54.2,39.9,27,0,6.589896450435151,0
M,8.05,1,62.3,28.4,6,0,12.090942639519294,0
F,6.72517395982783,0,52.5,31.5,40,0,6.732541915009198,0
M,5.21,2,79.8,37.8,5,0,16.957787728706993,1
F,9.29517395982783,1,64.9,30.2,32,0,15.190235473734504,0
M,2.47,0,74.8,25.0,4,0,4.353927836043182,0
M,5.92,0,59.8,29.4,4,0,6.895981939360845,0
M,9.25,0,62.0,30.1,11,0,11.927911095317945,0
F,5.26517395982783,1,83.5,43.1,25,0,10.990410522288787,0
M,4.43,2,56.3,32.5,10,0,12.51149996541936,0
M,5.79,0,46.4,40.0,9,0,6.547612383662388,0
F,4.63517395982783,0,72.9,40.0,34,0,9.109357360884555,0
F,9.74517395982783,1,54.3,36.6,43,0,12.696439091035234,0
F,3.44517395982783,1,62.7,41.6,24,0,12.769508160787895,0
M,7.74,1,78.9,44.9,6,0,15.106587965133054,1
M,2.28,2,58.2,45.3,5,0,14.897640133780126,0
F,7.49517395982783,2,78.5,42.0,27,0,18.350819982562104,1
M,5.23,2,59.8,39.8,8,0,19.45630620069217,1
F,0.275173959827833,1,85.9,43.5,35,0,9.740263602181829,0
M,5.48,0,83.9,37.6,8,0,4.6059554158669735,0
M,2.76,0,62.3,21.0,14,0,8.949508723034283,0
M,4.36,1,65.4,41.8,6,0,9.84260113808635,0
F,9.72517395982783,2,58.0,34.6,32,0,17.138347868599983,1
F,2.90517395982783,0,70.4,32.1,26,0,8.99968834963497,0
M,2.78,1,81.8,50.8,8,0,7.911480917882149,0
F,9.47517395982783,1,50.6,36.9,22,0,9.776292551701635,0
F,6.07517395982783,1,79.0,38.7,41,0,9.36503110567621,0
M,9.46,0,52.1,37.7,4,0,6.7887274199491525,0
M,6.33,0,57.7,36.4,5,0,8.083273212033987,0
M,3.23,0,46.5,39.2,14,0,5.918375685625542,0
M,5.33,0,93.3,39.4,2,0,9.748548358657109,0
M,8.66,1,68.7,35.8,2,0,10.313468232215268,0
M,7.92,1,70.9,32.8,5,0,8.302793126734713,0
M,5.5,1,59.9,37.2,7,0,11.051707170780766,0
M,5.63,1,80.8,26.8,10,0,11.527447932723328,0
M,5.21,2,42.8,23.7,4,0,14.519771543433224,0
F,4.28517395982783,0,68.3,28.6,23,0,8.327494232356456,0
F,10.7351739598278,2,94.5,23.2,31,0,20.259069844031263,1
M,5.52,1,63.4,43.2,7,0,12.718266170751708,0
F,2.86517395982783,1,68.2,39.0,26,0,10.665009728144051,0
M,4.27,2,76.1,32.3,12,0,16.522129411202933,1
M,7.37,1,58.3,39.3,10,0,10.356653474260238,0
F,7.42517395982783,1,68.3,44.0,17,0,12.134364152250999,0
M,5.15,1,79.5,44.3,2,0,12.533552193313914,0
F,4.05517395982783,0,70.3,37.3,10,0,8.589643930748753,0
M,5.56,1,72.5,42.3,5,0,11.067517655550857,0
F,1.47517395982783,0,63.8,35.0,26,0,6.24592149137814,0
M,2.15,0,71.8,31.7,9,0,5.569322416169243,0
M,7.55,1,68.7,36.9,5,0,12.34891566534374,0
M,4.27,2,85.5,28.0,2,0,17.779038084048146,1
F,6.73517395982783,2,76.7,37.7,28,0,12.750466237805604,0
M,8.63,0,65.1,34.4,8,0,6.279055343850478,0
M,7.17,0,38.6,41.3,1,0,3.3226292051143593,0
M,5.55,1,76.6,35.2,5,0,7.469767760303391,0
M,10.97,1,77.1,21.0,5,0,13.525471119689646,0
F,7.49517395982783,1,57.0,37.8,55,0,13.236454779369396,0
F,4.86517395982783,1,44.0,30.5,31,0,8.942818847148766,0
M,7.38,1,54.3,21.5,4,0,11.886580163883703,0
M,6.55,1,79.1,30.2,7,0,14.990434993421587,0
F,3.57517395982783,1,55.2,38.2,16,0,12.306959244449299,0
M,5.69,1,62.5,43.0,9,0,11.081724130547721,0
F,5.35517395982783,1,70.6,43.7,6,0,14.32675875905271,0
M,0.45,2,82.7,36.2,4,0,14.198253316868218,0
M,5.06,2,67.8,35.8,6,0,13.601203552345076,0
F,5.04517395982783,2,66.8,39.0,15,0,14.009786275516444,0
M,4.37,2,61.4,27.1,4,0,11.521926974869968,0
F,1.54517395982783,0,87.6,35.7,17,0,5.1283192724466105,0
M,4.59,1,80.8,35.9,10,0,11.234966623851141,0
M,5.4,1,66.9,21.3,3,0,12.990170038757205,0
F,6.03517395982783,0,51.2,41.1,15,0,10.043126642245884,0
M,2.58,1,58.5,37.1,4,0,6.620636969245922,0
M,7.13,0,75.0,42.1,5,0,9.60065493651984,0
M,2.38,0,59.3,30.1,2,0,3.2599121216849305,0
F,5.19517395982783,1,78.7,40.2,22,0,13.05598115684032,0
M,8.85,0,72.3,41.5,5,0,9.223826698624547,0
M,3.72,1,71.5,30.7,6,0,7.203188348304941,0
M,4.19,0,75.8,35.9,5,0,9.25759398313697,0
F,8.53517395982783,2,74.0,30.4,12,0,16.23758555429645,0
M,4.51,0,57.7,34.2,7,0,5.226199523252891,0
M,4.74,1,64.1,35.6,3,0,8.71749517742062,0
