gender,years_exp,education,test_score,age,career_break_months,senior_hire,hire_score
M,12.56,1,81.6,35.3,3,0,16.6
F,4.00517395982783,2,78.9,51.2,10,0,16.1
F,9.23517395982783,1,74.2,32.7,28,0,14.4
F,5.64517395982783,2,75.6,43.9,40,1,16.7
F,5.45517395982783,1,35.5,30.6,15,0,9.8
M,7.3,1,78.0,32.1,7,0,13.7
M,7.73,0,64.7,31.5,3,0,9.0
F,8.94517395982783,0,69.1,40.9,44,0,9.9
M,6.32,1,64.6,29.8,15,0,12.3
M,4.0,2,51.3,26.1,1,0,14.2
F,4.43517395982783,1,61.5,35.5,38,0,11.1
M,6.77,2,75.9,36.3,5,0,17.3
M,6.95,0,85.0,40.9,5,0,10.0
F,9.27517395982783,2,60.5,39.0,19,1,17.5
M,6.55,2,57.2,31.7,5,0,15.9
M,8.15,1,85.4,31.6,2,0,14.7
M,9.29,1,57.4,33.1,5,0,13.3
F,6.18517395982783,1,92.9,34.8,21,0,14.2
M,1.79,0,68.6,32.2,15,0,6.3
F,2.82517395982783,1,57.4,44.3,20,0,10.0
M,1.91,1,79.8,26.4,9,0,11.2
M,9.48,1,88.3,43.2,4,1,15.5
F,3.65517395982783,0,50.8,36.3,21,0,6.0
F,8.85517395982783,0,86.7,35.5,27,0,11.1
M,6.96,0,64.6,37.6,5,0,8.6
F,10.0651739598278,2,85.8,39.4,8,1,19.6
M,8.01,0,63.4,30.7,4,0,9.1
M,5.24,0,49.1,36.8,3,0,6.7
M,5.0,0,74.0,32.4,6,0,8.3
M,5.71,1,79.1,33.7,2,0,13.0
F,6.21517395982783,1,93.2,32.3,11,0,14.2
F,4.44517395982783,2,88.7,22.5,14,1,17.0
F,5.69517395982783,2,76.3,27.5,38,0,16.8
F,9.79517395982783,2,65.1,32.2,17,0,18.1
F,1.51517395982783,2,61.8,46.8,8,0,13.7
M,6.15,1,64.5,37.2,5,0,12.2
M,3.23,0,58.0,40.7,5,0,6.3
F,6.24517395982783,2,64.7,50.2,18,1,16.3
F,7.87517395982783,0,37.5,28.4,30,0,7.2
M,5.36,1,70.1,44.1,3,0,12.2
F,7.70517395982783,0,67.7,37.5,35,0,9.2
M,1.53,2,98.8,45.2,9,1,16.3
M,8.27,0,77.1,33.5,1,0,10.1
M,3.99,1,62.2,32.0,6,0,11.0
M,7.06,0,74.8,35.6,7,0,9.4
M,5.96,2,53.3,35.8,5,1,15.3
M,0.0,1,60.8,30.6,12,0,8.9
F,3.88517395982783,1,45.6,32.4,8,0,9.7
M,6.05,0,85.2,31.3,7,0,9.6
F,9.65517395982784,0,75.1,38.0,26,0,10.7
M,6.22,2,53.9,39.9,8,0,15.5
F,6.41517395982783,1,67.3,28.8,6,0,12.5
F,2.24517395982783,1,79.4,38.7,41,0,11.3
M,9.08,2,73.9,44.9,3,1,18.3
M,10.02,1,72.6,33.6,5,0,14.7
F,5.84517395982783,0,57.7,31.7,17,0,7.6
M,4.95,1,60.4,31.1,4,0,11.3
M,1.45,0,69.1,33.3,5,0,6.2
M,7.71,1,79.0,29.0,4,0,14.0
M,12.26,1,58.1,33.4,3,0,14.8
M,7.29,1,54.5,37.5,3,0,12.1
F,8.93517395982783,2,81.7,29.4,14,1,18.8
F,7.13517395982783,2,56.8,32.6,28,1,16.2
F,3.31517395982783,1,80.9,24.4,31,0,11.9
F,9.11517395982783,2,70.9,40.6,19,0,18.1
F,2.68517395982783,2,78.6,31.4,15,0,15.5
M,4.97,1,88.9,34.5,12,0,13.3
M,6.2,1,76.3,42.4,7,1,13.1
F,7.98517395982783,2,77.3,45.5,43,0,18.0
M,6.54,1,57.0,35.9,8,0,11.9
M,6.47,0,59.7,37.9,10,0,8.0
M,3.6,0,75.7,34.1,5,0,7.7
M,2.28,1,86.4,42.9,7,0,11.8
F,5.92517395982783,1,84.7,41.5,27,0,13.5
M,3.72,1,95.8,27.7,6,0,13.2
M,2.23,1,71.7,33.2,7,0,10.7
M,2.34,0,70.4,28.0,5,0,6.7
M,4.27,0,80.1,40.0,7,0,8.4
F,1.14517395982783,0,68.2,43.9,20,0,6.0
F,2.40517395982783,1,67.3,34.1,22,0,10.5
F,1.68517395982783,0,55.4,44.5,9,0,5.3
M,5.96,1,79.9,40.1,9,1,13.2
M,6.52,2,55.1,31.9,4,1,15.7
M,10.52,1,74.1,44.9,6,0,15.1
F,2.03517395982783,2,51.0,44.5,19,0,13.2
M,3.8,1,81.2,33.2,4,0,12.2
M,7.78,2,55.7,26.7,6,1,16.4
M,4.96,0,78.1,33.3,3,0,8.6
M,4.68,1,48.9,37.2,5,0,10.4
M,9.77,2,62.7,33.6,9,1,17.9
F,4.92517395982783,1,82.1,34.2,36,0,12.8
F,2.88517395982783,2,58.3,37.0,21,0,14.1
F,2.48517395982783,0,68.8,45.3,34,0,6.7
F,6.61517395982783,0,62.3,37.6,25,0,8.3
F,6.53517395982783,2,40.3,32.3,21,1,14.7
F,2.34517395982783,1,71.7,43.1,8,0,10.8
M,3.04,1,73.2,48.6,4,0,11.3
F,7.11517395982783,2,54.7,43.9,27,0,16.0
M,6.94,0,74.9,40.1,4,0,9.3
F,4.16517395982783,2,58.5,31.2,15,0,14.8
M,7.06,1,56.0,45.4,3,0,12.1
F,7.20517395982783,0,68.1,39.3,32,0,9.0
F,1.31517395982783,0,59.8,36.7,19,0,5.5
M,4.72,1,95.5,43.3,5,0,13.7
M,6.54,1,49.3,24.9,12,0,11.3
M,4.07,2,76.9,32.7,10,1,16.0
M,0.15,0,79.9,21.0,2,0,6.3
M,4.79,0,44.2,31.1,4,0,6.1
F,7.65517395982783,0,47.2,43.4,46,0,7.7
M,9.45,1,74.7,41.7,10,0,14.6
F,0.295173959827833,1,62.2,32.1,17,0,9.1
M,12.03,1,72.6,29.9,7,0,15.7
M,2.68,1,81.7,31.2,13,0,11.7
M,7.89,1,63.5,37.0,9,0,13.0
F,8.86517395982783,0,55.2,44.6,34,0,8.9
F,8.23517395982783,0,35.2,42.2,33,0,7.2
F,6.14517395982783,2,70.5,34.3,38,0,16.6
F,2.87517395982783,0,56.9,33.3,13,0,6.0
M,7.07,2,71.8,39.7,1,1,17.2
M,3.71,1,70.8,32.9,4,0,11.4
F,0.275173959827833,0,51.4,29.5,24,0,4.3
M,12.57,0,88.7,33.5,5,0,13.1
M,7.27,0,81.0,39.9,5,0,9.9
F,10.3251739598278,0,78.2,45.2,40,0,11.2
M,3.22,1,53.8,36.5,5,0,10.0
M,9.17,1,63.1,33.3,11,0,13.6
F,9.74517395982783,1,61.4,30.8,29,0,13.8
M,9.39,1,63.0,36.9,8,0,13.7
M,5.45,0,54.5,35.5,8,0,7.1
M,2.49,0,73.2,36.5,4,0,7.0
F,5.33517395982783,2,70.8,35.4,16,0,16.2
M,0.0,0,72.4,47.0,7,0,5.7
M,1.24,1,61.9,33.2,1,0,9.6
M,5.73,1,83.5,31.8,2,0,13.3
M,3.02,1,70.3,43.5,2,0,11.0
F,5.36517395982783,0,35.1,48.1,20,0,5.7
M,5.23,1,60.3,30.8,8,0,11.4
M,10.33,1,67.3,45.3,3,0,14.5
M,8.74,2,79.6,33.8,1,1,18.6
F,5.66517395982783,0,64.4,41.5,17,0,8.0
F,8.79517395982783,0,65.0,38.5,75,0,9.6
M,3.55,0,60.0,35.4,4,0,6.6
F,4.93517395982783,2,76.0,38.2,16,0,16.4
M,7.78,0,62.6,39.4,1,0,8.9
M,2.4,0,60.8,42.3,9,0,6.1
F,5.07517395982783,1,59.1,35.4,29,0,11.3
F,2.47517395982783,2,74.7,28.3,10,0,15.1
M,5.79,1,61.6,41.0,7,0,11.8
M,9.58,0,47.9,33.8,11,0,8.8
F,3.89517395982783,1,75.5,40.1,26,0,11.8
F,6.33517395982783,0,59.6,29.8,32,0,7.9
F,3.53517395982783,0,72.3,49.6,35,0,7.4
M,2.63,2,72.5,32.8,5,1,15.0
M,2.41,1,82.4,37.1,2,1,11.6
F,9.41517395982783,0,80.5,26.8,27,0,11.0
F,11.6851739598278,2,61.1,34.9,9,1,18.7
M,6.71,2,66.0,35.8,3,1,16.6
F,3.98517395982783,2,52.5,36.8,14,1,14.3
F,7.53517395982783,0,88.1,33.0,19,0,10.5
F,4.93517395982783,0,73.3,36.8,41,0,8.2
M,7.5,1,84.7,31.1,9,1,14.3
F,6.50517395982783,1,64.2,40.8,24,0,12.4
M,6.2,2,43.4,37.5,9,0,14.7
M,7.02,2,86.4,41.0,5,1,18.2
F,4.32517395982783,2,69.1,45.5,19,0,15.6
F,4.76517395982783,0,69.6,37.6,25,0,7.9
M,1.2,1,68.7,36.0,3,0,10.0
F,4.67517395982783,0,75.7,36.7,22,0,8.2
F,2.21517395982783,1,74.4,38.9,25,0,10.9
F,5.41517395982783,0,48.9,37.0,13,0,6.7
F,3.38517395982783,0,81.0,32.2,7,0,8.0
M,5.75,0,61.7,44.4,11,0,7.8
F,6.90517395982783,0,62.4,36.7,2,0,8.4
F,2.22517395982783,0,88.7,44.3,32,0,7.9
M,3.47,1,79.0,37.5,8,0,11.9
M,3.14,0,63.9,34.1,5,0,6.7
F,7.64517395982783,0,45.7,37.4,24,0,7.6
F,10.0451739598278,1,69.9,36.7,19,0,14.5
M,7.63,1,74.5,35.6,6,1,13.6
F,4.90517395982783,1,67.0,35.9,10,0,11.8
M,9.16,1,53.0,31.6,5,0,12.9
F,1.98517395982783,1,58.5,40.2,26,0,9.7
M,9.25,1,52.9,28.8,7,0,12.9
M,3.86,1,70.6,37.9,4,0,11.5
M,0.0,0,77.8,29.9,4,0,6.1
M,12.13,0,80.3,32.9,7,0,12.3
F,9.72517395982783,1,59.2,39.2,12,0,13.6
F,3.19517395982783,0,70.8,39.4,17,0,7.2
M,5.92,1,74.6,34.5,8,0,12.8
M,4.96,0,61.9,37.3,7,0,7.4
F,6.03517395982783,1,66.2,34.7,15,0,12.3
F,2.06517395982783,2,93.5,22.5,17,0,16.2
M,3.8,1,70.5,37.8,2,0,11.4
M,6.67,1,78.6,35.3,4,0,13.4
M,6.06,0,62.8,23.4,6,0,8.0
F,8.77517395982783,2,68.5,32.9,16,1,17.8
F,5.97517395982783,1,47.4,36.4,11,0,10.9
M,11.37,1,67.7,33.8,2,1,15.0
M,3.71,2,82.3,30.3,6,0,16.2
M,6.15,1,93.2,34.3,5,0,14.2
M,0.71,2,82.4,40.9,7,0,14.7
M,2.37,1,76.2,39.8,3,0,11.1
M,8.82,2,68.6,36.3,6,1,17.8
M,3.14,1,60.8,38.0,3,0,10.4
F,7.10517395982783,1,66.1,31.1,12,0,12.8
M,5.35,2,75.4,26.1,3,1,16.6
F,3.16517395982783,0,58.6,40.8,6,0,6.3
M,4.63,1,79.2,36.2,9,0,12.5
M,4.21,1,56.2,38.7,9,0,10.6
M,4.28,0,46.6,30.8,5,0,6.0
F,7.65517395982783,1,55.9,31.2,18,0,12.4
F,7.40517395982783,1,48.0,23.3,6,0,11.7
F,4.33517395982783,2,51.5,41.6,8,0,14.4
F,3.50517395982783,1,81.6,35.2,40,0,12.1
M,6.21,1,65.6,37.4,2,1,12.3
M,5.25,2,70.6,32.7,6,1,16.2
F,8.34517395982783,1,81.9,36.7,21,0,14.5
M,12.14,2,83.1,41.0,14,1,20.5
M,7.61,1,61.9,41.7,6,0,12.7
F,5.68517395982783,0,83.9,25.9,49,0,9.3
M,5.07,0,72.6,31.8,8,0,8.2
M,3.36,0,68.0,43.8,6,0,7.0
F,3.50517395982783,1,73.3,34.4,49,0,11.5
F,3.26517395982783,0,50.9,35.7,26,0,5.8
M,4.51,2,58.6,33.9,1,0,15.0
M,4.43,2,66.7,47.4,6,1,15.5
F,7.63517395982783,0,75.3,37.0,13,0,9.7
M,4.5,0,63.5,32.1,9,0,7.3
M,5.01,0,66.5,35.4,4,0,7.8
M,2.45,2,79.6,36.3,1,1,15.4
F,9.88517395982783,0,84.9,42.1,22,0,11.5
F,7.04517395982783,1,77.2,32.7,25,0,13.5
M,9.97,0,83.2,30.5,6,0,11.4
F,7.76517395982783,0,63.1,35.2,50,0,8.9
F,9.49517395982783,0,64.3,46.9,28,0,9.9
M,4.88,1,71.8,24.6,9,0,12.1
F,7.56517395982783,0,64.4,35.7,24,0,8.9
M,12.26,2,61.9,30.2,5,1,19.1
F,2.71517395982783,1,87.8,45.3,15,0,12.1
M,8.44,0,65.6,41.5,6,0,9.4
F,10.0151739598278,0,56.4,26.0,20,0,9.6
M,6.55,1,73.8,33.0,8,0,13.1
F,7.68517395982783,1,90.0,35.5,17,0,14.8
M,8.7,0,69.0,33.0,3,0,9.8
F,4.09517395982783,0,82.8,44.1,18,0,8.5
F,6.81517395982783,1,62.7,40.8,20,0,12.4
F,3.55517395982783,2,62.1,45.8,12,0,14.7
M,3.77,1,59.7,44.1,12,0,10.7
M,3.92,2,66.3,38.0,4,1,15.2
F,5.40517395982783,1,90.0,34.4,24,0,13.6
M,5.87,1,54.1,39.2,8,0,11.3
M,6.66,1,87.6,40.1,4,0,14.1
M,1.87,1,55.9,29.6,5,0,9.5
F,10.8451739598278,1,65.2,37.4,11,0,14.6
F,8.73517395982783,1,78.0,22.4,27,1,14.4
F,7.63517395982783,0,75.6,28.1,8,0,9.7
F,4.85517395982783,0,71.4,39.8,7,0,8.0
F,5.54517395982783,2,48.2,32.8,33,0,14.8
M,6.9,1,72.3,35.7,7,0,13.1
F,6.82517395982783,2,55.7,41.7,34,1,15.9
F,1.47517395982783,2,98.8,34.7,52,0,16.3
M,7.4,1,65.4,35.9,4,0,12.9
M,12.97,0,70.3,34.0,3,0,12.0
F,1.04517395982783,1,54.2,39.9,27,0,8.9
M,8.05,1,62.3,28.4,6,0,13.0
F,6.72517395982783,0,52.5,31.5,40,0,7.6
M,5.21,2,79.8,37.8,5,1,16.8
F,9.29517395982783,1,64.9,30.2,32,0,13.8
M,2.47,0,74.8,25.0,4,0,7.1
M,5.92,0,59.8,29.4,4,0,7.8
M,9.25,0,62.0,30.1,11,0,9.6
F,5.26517395982783,1,83.5,43.1,25,0,13.1
M,4.43,2,56.3,32.5,10,0,14.8
M,5.79,0,46.4,40.0,9,0,6.8
F,4.63517395982783,0,72.9,40.0,34,0,8.0
F,9.74517395982783,1,54.3,36.6,43,0,13.3
F,3.44517395982783,1,62.7,41.6,24,0,10.7
M,7.74,1,78.9,44.9,6,1,14.0
M,2.28,2,58.2,45.3,5,0,13.8
F,7.49517395982783,2,78.5,42.0,27,1,17.9
M,5.23,2,59.8,39.8,8,1,15.4
F,0.275173959827833,1,85.9,43.5,35,0,10.8
M,5.48,0,83.9,37.6,8,0,9.2
M,2.76,0,62.3,21.0,14,0,6.4
M,4.36,1,65.4,41.8,6,0,11.4
F,9.72517395982783,2,58.0,34.6,32,1,17.5
F,2.90517395982783,0,70.4,32.1,26,0,7.0
M,2.78,1,81.8,50.8,8,0,11.7
F,9.47517395982783,1,50.6,36.9,22,0,12.9
F,6.07517395982783,1,79.0,38.7,41,0,13.2
M,9.46,0,52.1,37.7,4,0,9.0
M,6.33,0,57.7,36.4,5,0,7.8
M,3.23,0,46.5,39.2,14,0,5.5
M,5.33,0,93.3,39.4,2,0,9.8
M,8.66,1,68.7,35.8,2,0,13.7
M,7.92,1,70.9,32.8,5,0,13.5
M,5.5,1,59.9,37.2,7,0,11.6
M,5.63,1,80.8,26.8,10,0,13.1
M,5.21,2,42.8,23.7,4,0,14.2
F,4.28517395982783,0,68.3,28.6,23,0,7.5
F,10.7351739598278,2,94.5,23.2,31,1,20.6
M,5.52,1,63.4,43.2,7,0,11.8
F,2.86517395982783,1,68.2,39.0,26,0,10.8
M,4.27,2,76.1,32.3,12,1,16.1
M,7.37,1,58.3,39.3,10,0,12.4
F,7.42517395982783,1,68.3,44.0,17,0,13.1
M,5.15,1,79.5,44.3,2,0,12.7
F,4.05517395982783,0,70.3,37.3,10,0,7.6
M,5.56,1,72.5,42.3,5,0,12.5
F,1.47517395982783,0,63.8,35.0,26,0,5.8
M,2.15,0,71.8,31.7,9,0,6.7
M,7.55,1,68.7,36.9,5,0,13.2
M,4.27,2,85.5,28.0,2,1,16.7
F,6.73517395982783,2,76.7,37.7,28,0,17.3
M,8.63,0,65.1,34.4,8,0,9.5
M,7.17,0,38.6,41.3,1,0,6.9
M,5.55,1,76.6,35.2,5,0,12.7
M,10.97,1,77.1,21.0,5,0,15.5
F,7.49517395982783,1,57.0,37.8,55,0,12.3
F,4.86517395982783,1,44.0,30.5,31,0,10.1
M,7.38,1,54.3,21.5,4,0,12.1
M,6.55,1,79.1,30.2,7,0,13.4
F,3.57517395982783,1,55.2,38.2,16,0,10.3
M,5.69,1,62.5,43.0,9,0,11.8
F,5.35517395982783,1,70.6,43.7,6,0,12.2
M,0.45,2,82.7,36.2,4,0,14.6
M,5.06,2,67.8,35.8,6,0,15.9
F,5.04517395982783,2,66.8,39.0,15,0,15.8
M,4.37,2,61.4,27.1,4,0,15.1
F,1.54517395982783,0,87.6,35.7,17,0,7.5
M,4.59,1,80.8,35.9,10,0,12.6
M,5.4,1,66.9,21.3,3,0,12.0
F,6.03517395982783,0,51.2,41.1,15,0,7.2
M,2.58,1,58.5,37.1,4,0,10.0
M,7.13,0,75.0,42.1,5,0,9.4
M,2.38,0,59.3,30.1,2,0,6.0
F,5.19517395982783,1,78.7,40.2,22,0,12.7
M,8.85,0,72.3,41.5,5,0,10.1
M,3.72,1,71.5,30.7,6,0,11.5
M,4.19,0,75.8,35.9,5,0,8.0
F,8.53517395982783,2,74.0,30.4,12,0,18.1
M,4.51,0,57.7,34.2,7,0,6.9
M,4.74,1,64.1,35.6,3,0,11.5
M,6.07,2,96.1,44.2,10,1,18.4
F,8.47517395982783,1,53.5,44.4,14,0,12.6
M,0.0,0,62.3,40.3,4,0,5.0
F,3.64517395982783,0,80.8,41.5,12,0,8.1
F,3.18517395982783,1,66.1,38.6,24,0,10.8
M,2.71,0,58.3,30.9,2,0,6.0
F,3.58517395982783,0,52.1,39.4,33,0,6.0
M,3.35,1,74.4,21.0,5,0,11.5
M,6.27,1,80.2,40.4,4,0,13.4
M,3.22,0,84.8,39.6,5,0,8.2
M,5.81,1,68.6,36.0,4,0,12.3
M,6.53,1,80.5,31.7,7,0,13.5
M,3.63,0,55.6,44.6,10,0,6.3
M,5.83,0,70.0,24.3,5,0,8.4
M,9.69,0,59.9,30.3,2,0,9.6
M,6.33,2,70.1,26.2,3,1,16.7
M,3.87,0,77.0,37.2,4,0,7.9
F,5.60517395982783,0,80.8,38.0,37,0,9.1
M,3.16,0,56.1,32.2,3,0,6.1
F,6.46517395982783,1,83.2,32.2,14,0,13.7
M,7.71,2,62.3,47.7,4,1,16.8
F,3.68517395982783,0,55.7,40.5,24,0,6.4
M,4.97,2,66.0,35.1,6,1,15.7
M,8.34,1,50.4,33.6,5,0,12.3
M,4.23,0,68.1,38.4,9,0,7.5
F,6.25517395982783,2,71.5,36.8,45,0,16.7
M,2.88,0,65.6,30.6,11,0,6.6
F,3.68517395982783,1,74.4,43.4,30,0,11.7
M,4.19,0,64.2,28.5,9,0,7.2
M,10.94,1,68.0,38.2,4,1,14.8
F,4.75517395982783,1,50.7,33.5,16,0,10.5
M,4.18,2,68.5,32.1,12,0,15.5
F,4.36517395982783,2,57.8,32.0,50,0,14.8
F,5.36517395982783,1,62.6,31.3,44,0,11.7
M,7.14,0,66.9,40.9,3,0,8.9
M,5.97,1,70.3,37.0,4,0,12.5
M,10.64,1,48.2,35.7,3,0,13.3
M,6.03,2,49.2,35.4,8,0,15.1
M,9.12,1,64.4,34.5,8,1,13.7
M,6.19,1,73.7,37.4,9,0,12.9
F,7.28517395982783,1,72.3,42.9,30,0,13.3
F,2.16517395982783,1,78.7,36.4,16,0,11.2
F,5.45517395982783,0,83.6,33.3,25,0,9.2
F,5.60517395982783,2,74.0,29.0,12,1,16.6
F,5.16517395982783,1,67.8,51.9,32,0,11.9
M,0.12,1,55.6,32.6,2,0,8.6
F,7.97517395982783,1,56.6,37.2,29,0,12.6
F,4.80517395982783,1,62.4,32.8,51,0,11.4
F,4.67517395982783,0,71.2,33.8,20,0,7.9
M,4.86,1,70.6,23.3,6,0,12.0
M,4.93,0,68.1,35.5,9,0,7.8
M,6.52,0,66.2,32.2,4,0,8.5
F,2.59517395982783,1,75.6,43.6,6,0,11.2
F,3.44517395982783,2,70.5,34.8,35,0,15.3
M,6.23,0,71.6,26.7,12,0,8.7
M,5.86,1,71.7,39.7,6,0,12.6
M,4.56,2,61.4,32.7,1,0,15.2
F,4.34517395982783,2,55.6,30.1,27,0,14.7
M,3.41,2,73.9,24.5,10,0,15.5
F,5.62517395982783,1,73.0,36.0,38,0,12.5
M,8.45,1,65.4,34.6,9,0,13.4
F,3.12517395982783,1,63.0,46.4,13,0,10.6
F,9.58517395982783,1,95.3,44.1,14,1,16.1
M,7.61,1,58.9,31.0,3,0,12.5
M,4.37,1,65.4,24.8,7,0,11.4
M,7.46,0,71.2,36.9,6,0,9.3
M,1.84,0,54.1,28.7,3,0,5.3
M,1.17,1,69.4,39.3,1,0,10.1
F,2.55517395982783,1,89.6,44.5,38,0,12.2
M,4.48,1,79.2,29.6,7,0,12.4
F,4.96517395982783,0,75.6,32.5,39,0,8.4
F,4.48517395982783,2,75.1,27.9,21,0,16.1
M,5.75,0,69.3,40.9,7,0,8.3
M,0.16,2,79.5,37.6,12,0,14.3
F,7.01517395982783,1,66.1,34.3,26,0,12.7
M,1.95,1,62.9,35.7,9,0,10.0
M,3.85,1,69.2,30.5,4,0,11.4
F,4.74517395982783,2,78.9,34.0,18,0,16.5
F,2.88517395982783,0,72.0,36.6,17,0,7.1
M,2.07,0,76.1,40.4,6,0,7.0
F,3.25517395982783,1,43.7,42.0,12,0,9.3
M,5.47,0,82.3,38.0,10,0,9.1
F,7.24517395982783,1,96.1,33.2,27,0,15.0
M,6.91,1,84.0,32.8,6,0,13.9
F,3.28517395982783,0,64.2,31.9,31,0,6.7
M,3.52,2,57.8,38.5,5,0,14.4
M,3.2,1,71.3,28.8,6,0,11.2
M,6.62,0,56.2,27.3,6,0,7.9
F,0.685173959827833,1,76.7,30.0,34,0,10.3
M,8.6,1,61.7,34.4,7,0,13.2
F,4.56517395982783,1,79.5,40.9,16,0,12.5
F,3.81517395982783,1,84.3,39.0,9,0,12.4
F,6.62517395982783,2,43.6,41.9,57,0,15.0
F,8.35517395982783,0,71.5,28.8,21,0,9.8
F,6.63517395982783,2,59.6,33.6,15,0,16.1
M,8.13,1,51.1,35.4,5,0,12.3
M,5.84,0,60.6,37.6,8,0,7.8
F,8.84517395982783,1,65.4,44.2,37,0,13.6
F,8.88517395982783,1,80.4,38.9,40,0,14.7
F,5.52517395982783,2,49.7,43.6,17,0,14.9
M,9.1,1,80.6,35.4,2,0,14.8
M,5.91,0,92.2,42.4,5,0,10.0
M,5.72,1,75.2,27.3,6,0,12.7
