	F	order
F_00486	P	3
F_00487	P	2
F_00488	P	4
F_00489	P	3
F_00490	P	1
F_00491	P	2
F_00492	P	5
F_00493	P	4
F_00494	P	5
F_00495	P	1
F_00496	P	2
F_00497	P	1
F_00498	P	5
F_00499	P	1
F_00500	P	3
F_00501	P	5
F_00502	P	3
F_00503	P	1
F_00504	P	1
F_00505	P	2
F_00506	P	3
F_00507	P	2
F_00508	P	3
F_00509	P	3
F_00510	P	5
F_00511	P	5
F_00512	P	5
F_00513	P	5
F_00514	P	2
F_00515	P	1
F_00516	P	5
F_00517	P	3
F_00518	P	4
F_00519	P	4
F_00520	P	2
F_00521	P	4
F_00522	P	1
F_00523	P	4
F_00524	P	2
F_00525	P	1
F_00526	P	2
F_00527	P	1
F_00528	P	4
F_00529	P	2
F_00530	P	5
F_00531	P	5
F_00532	P	4
F_00533	P	2
F_00534	P	5
F_00535	P	3
F_00536	P	1
F_00537	P	1
F_00538	P	5
F_00539	P	3
F_00540	P	1
F_00541	P	4
F_00542	P	4
F_00543	P	3
F_00544	P	5
F_00545	P	3
F_00546	P	3
F_00547	P	1
F_00548	P	3
F_00549	P	1
F_00550	P	1
F_00551	P	1
F_00552	P	4
F_00553	P	2
F_00554	P	5
F_00555	P	4
F_00556	P	4
F_00557	P	5
F_00558	P	3
F_00559	P	5
F_00560	P	5
F_00561	P	1
F_00562	P	2
F_00563	P	3
F_00564	P	3
F_00565	P	5
F_00566	P	4
F_00567	P	5
F_00568	P	4
F_00569	P	5
F_00570	P	2
F_00571	P	1
F_00572	P	4
F_00573	P	2
F_00574	P	3
F_00575	P	4
F_00576	P	2
F_00577	P	3
F_00578	P	5
F_00579	P	5
F_00580	P	2
F_00581	P	4
F_00582	P	5
F_00583	P	4
F_00584	P	3
F_00585	P	4
F_00586	P	5
F_00587	P	4
F_00588	P	2
F_00589	P	2
F_00590	P	1
F_00591	P	2
F_00592	P	4
F_00593	P	1
F_00594	P	1
F_00595	P	2
F_00596	P	4
F_00597	P	5
F_00598	P	1
F_00599	P	1
F_00600	P	3
F_00601	P	5
F_00602	P	5
F_00603	P	1
F_00604	P	2
F_00605	P	2
F_00606	P	5
F_00607	P	2
F_00608	P	4
F_00609	P	1
F_00610	P	2
F_00611	P	2
F_00612	P	4
F_00613	P	3
F_00614	P	4
F_00615	P	3
F_00616	P	2
F_00617	P	3
F_00618	P	1
F_00619	P	2
F_00620	P	4
F_00621	P	1
F_00622	P	5
F_00623	P	1
F_00624	P	1
F_00625	P	3
F_00626	P	5
F_00627	P	4
F_00628	P	4
F_00629	P	1
F_00630	P	1
F_00631	P	2
F_00632	P	2
F_00633	P	2
F_00634	P	4
F_00635	P	4
F_00636	P	4
F_00637	P	1
F_00638	P	3
F_00639	P	5
F_00640	P	4
F_00641	P	4
F_00642	P	3
F_00643	P	2
F_00644	P	4
F_00645	P	5
F_00646	P	3
F_00647	P	3
F_00648	P	3
F_00649	P	5
F_00650	P	4
F_00651	P	4
F_00652	P	2
F_00653	P	5
F_00654	P	4
F_00655	P	3
F_00656	P	5
F_00657	P	4
F_00658	P	5
F_00659	P	4
F_00660	P	5
F_00661	P	3
F_00662	P	3
F_00663	P	5
F_00664	P	5
F_00665	P	5
F_00666	P	5
F_00667	P	2
F_00668	P	3
F_00669	P	5
F_00670	P	5
F_00671	P	5
F_00672	P	2
F_00673	P	4
F_00674	P	1
F_00675	P	1
F_00676	P	5
F_00677	P	4
F_00678	P	3
F_00679	P	1
F_00680	P	1
F_00681	P	5
F_00682	P	1
F_00683	P	3
F_00684	P	3
F_00685	P	3
F_00686	P	2
F_00687	P	1
F_00688	P	5
F_00689	P	2
F_00690	P	5
F_00691	P	5
F_00692	P	3
F_00693	P	5
F_00694	P	3
F_00695	P	4
F_00696	P	3
F_00697	P	5
F_00698	P	2
F_00699	P	5
F_00700	P	5
F_00701	P	3
F_00702	P	1
F_00703	P	3
F_00704	P	2
F_00705	P	4
F_00706	P	3
F_00707	P	4
F_00708	P	1
F_00709	P	3
F_00710	P	2
F_00711	P	4
F_00712	P	2
F_00713	P	1
F_00714	P	5
F_00715	P	4
F_00716	P	4
F_00717	P	1
F_00718	P	4
F_00719	P	1
F_00720	P	1
F_00721	P	5
F_00722	P	4
F_00723	P	1
F_00724	P	5
F_00725	P	2
F_00726	P	3
F_00727	P	4
F_00728	P	1
F_00729	P	4
F_00730	P	3
F_00731	P	5
F_00732	P	1
F_00733	P	1
F_00734	P	2
F_00735	P	5
F_00736	P	4
F_00737	P	3
F_00738	P	1
F_00739	P	5
F_00740	P	5
F_00741	P	4
F_00742	P	2
F_00743	P	1
F_00744	P	3
F_00745	P	3
F_00746	P	2
F_00747	P	2
F_00748	P	3
F_00749	P	2
F_00750	P	4
F_00751	P	4
F_00752	P	5
F_00753	P	1
F_00754	P	5
F_00755	P	2
F_00756	P	1
F_00757	P	4
F_00758	P	3
F_00759	P	4
F_00760	P	1
F_00761	P	3
F_00762	P	1
F_00763	P	4
F_00764	P	1
F_00765	P	4
F_00766	P	2
F_00767	P	3
F_00768	P	3
F_00769	P	5
F_00770	P	2
F_00771	P	2
F_00772	P	1
F_00773	P	3
F_00774	P	2
F_00775	P	2
F_00776	P	5
F_00777	P	4
F_00778	P	1
F_00779	P	4
F_00780	P	2
F_00781	P	3
F_00782	P	3
F_00783	P	1
F_00784	P	2
F_00785	P	4
F_00786	P	5
F_00787	P	1
F_00788	P	4
F_00789	P	3
F_00790	P	5
F_00791	P	5
F_00792	P	1
F_00793	P	2
F_00794	P	4
F_00795	P	2
F_00796	P	5
F_00797	P	4
F_00798	P	5
F_00799	P	3
F_00800	P	2
F_00801	P	3
F_00802	P	1
F_00803	P	5
F_00804	P	4
F_00805	P	1
F_00806	P	2
F_00807	P	5
F_00808	P	5
F_00809	P	5
F_00810	P	5
F_00811	P	3
F_00812	P	2
F_00813	P	5
F_00814	P	3
F_00815	P	4
F_00816	P	3
F_00817	P	5
F_00818	P	4
F_00819	P	1
F_00820	P	3
F_00821	P	5
F_00822	P	2
F_00823	P	2
F_00824	P	4
F_00825	P	2
F_00826	P	2
F_00827	P	5
F_00828	P	3
F_00829	P	2
F_00830	P	2
F_00831	P	5
F_00832	P	1
F_00833	P	1
F_00834	P	2
F_00835	P	2
F_00836	P	2
F_00837	P	5
F_00838	P	4
F_00839	P	5
F_00840	P	3
F_00841	P	5
F_00842	P	3
F_00843	P	4
F_00844	P	2
F_00845	P	4
F_00846	P	4
F_00847	P	2
F_00848	P	3
F_00849	P	5
F_00850	P	1
F_00851	P	3
F_00852	P	2
F_00853	P	3
F_00854	P	5
F_00855	P	5
F_00856	P	3
F_00857	P	1
F_00858	P	1
F_00859	P	4
F_00860	P	4
F_00861	P	3
F_00862	P	5
F_00863	P	5
F_00864	P	2
F_00865	P	3
F_00866	P	4
F_00867	P	3
F_00868	P	3
F_00869	P	1
F_00870	P	3
F_00871	P	1
F_00872	P	1
F_00873	P	1
F_00874	P	2
F_00875	P	3
F_00876	P	5
F_00877	P	4
F_00878	P	2
F_00879	P	3
F_00880	P	4
F_00881	P	3
F_00882	P	3
F_00883	P	3
F_00884	P	1
F_00885	P	5
F_00886	P	1
F_00887	P	2
F_00888	P	3
F_00889	P	4
F_00890	P	4
F_00891	P	5
F_00892	P	2
F_00893	P	1
F_00894	P	2
F_00895	P	5
F_00896	P	3
F_00897	P	5
F_00898	P	2
F_00899	P	5
F_00900	P	2
F_00901	P	1
F_00902	P	2
F_00903	P	5
F_00904	P	2
F_00905	P	4
F_00906	P	5
F_00907	P	4
F_00908	P	2
F_00909	P	1
F_00910	P	5
F_00911	P	5
F_00912	P	4
F_00913	P	4
F_00914	P	5
F_00915	P	3
F_00916	P	1
F_00917	P	5
F_00918	P	3
F_00919	P	3
F_00920	P	2
F_00921	P	4
F_00922	P	5
F_00923	P	3
F_00924	P	1
F_00925	P	2
F_00926	P	1
F_00927	P	4
F_00928	P	3
F_00929	P	2
F_00930	P	5
F_00931	P	5
F_00932	P	5
F_00933	P	2
F_00934	P	2
F_00935	P	4
F_00936	P	2
F_00937	P	1
F_00938	P	1
F_00939	P	5
F_00940	P	1
F_00941	P	4
F_00942	P	2
F_00943	P	1
F_00944	P	4
F_00945	P	5
F_00946	P	5
F_00947	P	1
F_00948	P	3
F_00949	P	5
F_00950	P	2
F_00951	P	4
F_00952	P	3
F_00953	P	4
F_00954	P	3
F_00955	P	5
F_00956	P	4
F_00957	P	4
F_00958	P	4
F_00959	P	1
F_00960	P	5
F_00961	P	5
F_00962	P	3
F_00963	P	5
F_00964	P	5
F_00965	P	5
F_00966	P	2
F_00967	P	2
F_00968	P	5
F_00969	P	2
F_00970	P	2
F_00971	P	4
F_00972	P	1
F_00973	P	4
F_00974	P	3
F_00975	P	1
F_00976	P	1
F_00977	P	5
F_00978	P	5
F_00979	P	5
F_00980	P	4
F_00981	P	1
F_00982	P	1
F_00983	P	4
F_00984	P	1
F_00985	P	1
F_00986	P	3
F_00987	P	1
F_00988	P	1
F_00989	P	3
F_00990	P	1
F_00991	P	1
F_00992	P	1
F_00993	P	5
F_00994	P	5
F_00995	P	1
F_00996	P	5
F_00997	P	1
F_00998	P	4
F_00999	P	1
F_01000	P	4
F_01001	P	3
F_01002	P	4
F_01003	P	4
F_01004	P	1
F_01005	P	3
F_01006	P	2
F_01007	P	1
F_01008	P	2
F_01009	P	4
F_01010	P	2
F_01011	P	1
F_01012	P	2
F_01013	P	1
F_01014	P	2
F_01015	P	2
F_01016	P	1
F_01017	P	1
F_01018	P	5
F_01019	P	5
F_01020	P	3
F_01021	P	5
F_01022	P	4
F_01023	P	2
F_01024	P	3
F_01025	P	4
F_01026	P	1
F_01027	P	4
F_01028	P	2
F_01029	P	2
F_01030	P	1
F_01031	P	2
F_01032	P	4
F_01033	P	5
F_01034	P	1
F_01035	P	2
F_01036	P	3
F_01037	P	4
F_01038	P	1
F_01039	P	4
F_01040	P	1
F_01041	P	3
F_01042	P	1
F_01043	P	1
F_01044	P	4
F_01045	P	3
F_01046	P	5
F_01047	P	2
F_01048	P	5
F_01049	P	2
F_01050	P	5
F_01051	P	5
F_01052	P	4
F_01053	P	3
F_01054	P	1
F_01055	P	2
F_01056	P	2
F_01057	P	2
F_01058	P	4
F_01059	P	4
F_01060	P	5
F_01061	P	3
F_01062	P	3
F_01063	P	4
F_01064	P	5
F_01065	P	1
F_01066	P	5
F_01067	P	5
F_01068	P	2
F_01069	P	2
F_01070	P	4
F_01071	P	2
F_01072	P	4
F_01073	P	3
F_01074	P	4
F_01075	P	4
F_01076	P	2
F_01077	P	1
F_01078	P	3
F_01079	P	4
F_01080	P	1
F_01081	P	4
F_01082	P	4
F_01083	P	1
F_01084	P	2
F_01085	P	4
F_01086	P	1
F_01087	P	3
F_01088	P	1
F_01089	P	1
F_01090	P	4
F_01091	P	4
F_01092	P	2
F_01093	P	2
F_01094	P	5
F_01095	P	4
F_01096	P	3
F_01097	P	5
F_01098	P	2
F_01099	P	2
F_01100	P	3
F_01101	P	1
F_01102	P	4
F_01103	P	3
F_01104	P	3
F_01105	P	2
F_01106	P	2
F_01107	P	1
F_01108	P	4
F_01109	P	1
F_01110	P	5
F_01111	P	5
F_01112	P	4
F_01113	P	4
F_01114	P	4
F_01115	P	1
F_01116	P	1
F_01117	P	3
F_01118	P	2
F_01119	P	5
F_01120	P	5
F_01121	P	5
F_01122	P	1
F_01123	P	2
F_01124	P	3
F_01125	P	1
F_01126	P	1
F_01127	P	4
F_01128	P	2
F_01129	P	4
F_01130	P	5
F_01131	P	4
F_01132	P	4
F_01133	P	5
F_01134	P	3
F_01135	P	4
F_01136	P	4
F_01137	P	1
F_01138	P	5
F_01139	P	3
F_01140	P	5
F_01141	P	1
F_01142	P	5
F_01143	P	2
F_01144	P	4
F_01145	P	1
F_01146	P	2
F_01147	P	5
F_01148	P	1
F_01149	P	4
F_01150	P	1
F_01151	P	1
F_01152	P	5
F_01153	P	3
F_01154	P	5
F_01155	P	1
F_01156	P	2
F_01157	P	3
F_01158	P	3
F_01159	P	1
F_01160	P	4
F_01161	P	1
F_01162	P	3
F_01163	P	4
F_01164	P	1
F_01165	P	3
F_01166	P	4
F_01167	P	5
F_01168	P	4
F_01169	P	2
F_01170	P	4
F_01171	P	1
F_01172	P	3
F_01173	P	2
F_01174	P	5
F_01175	P	5
F_01176	P	4
F_01177	P	2
F_01178	P	5
F_01179	P	2
F_01180	P	3
F_01181	P	1
F_01182	P	4
F_01183	P	2
F_01184	P	3
F_01185	P	2
F_01186	P	5
F_01187	P	2
F_01188	P	4
F_01189	P	2
F_01190	P	2
F_01191	P	1
F_01192	P	5
F_01193	P	3
F_01194	P	4
F_01195	P	3
F_01196	P	5
F_01197	P	1
F_01198	P	5
F_01199	P	4
F_01200	P	3
F_01201	P	4
F_01202	P	5
F_01203	P	2
F_01204	P	2
F_01205	P	2
F_01206	P	3
F_01207	P	2
F_01208	P	1
F_01209	P	2
F_01210	P	1
F_01211	P	5
F_01212	P	4
F_01213	P	1
F_01214	P	5
F_01215	P	4
F_01216	P	2
F_01217	P	5
F_01218	P	5
F_01219	P	4
F_01220	P	5
F_01221	P	2
F_01222	P	2
F_01223	P	4
F_01224	P	5
F_01225	P	3
F_01226	P	3
F_01227	P	3
F_01228	P	3
F_01229	P	1
F_01230	P	1
F_01231	P	3
F_01232	P	4
F_01233	P	3
F_01234	P	5
F_01235	P	4
F_01236	P	1
F_01237	P	4
F_01238	P	5
F_01239	P	5
F_01240	P	1
F_01241	P	5
F_01242	P	1
F_01243	P	1
F_01244	P	3
F_01245	P	1
F_01246	P	4
F_01247	P	4
F_01248	P	3
F_01249	P	3
F_01250	P	3
F_01251	P	2
F_01252	P	3
F_01253	P	1
F_01254	P	1
F_01255	P	1
F_01256	P	3
F_01257	P	5
F_01258	P	5
F_01259	P	3
F_01260	P	5
F_01261	P	1
F_01262	P	3
F_01263	P	5
F_01264	P	1
F_01265	P	2
F_01266	P	1
F_01267	P	3
F_01268	P	1
F_01269	P	4
F_01270	P	3
F_01271	P	4
F_01272	P	4
F_01273	P	5
F_01274	P	4
F_01275	P	1
F_01276	P	3
F_01277	P	1
F_01278	P	2
F_01279	P	3
F_01280	P	5
F_01281	P	3
F_01282	P	3
F_01283	P	3
F_01284	P	3
F_01285	P	3
F_01286	P	2
F_01287	P	4
F_01288	P	1
F_01289	P	1
F_01290	P	5
F_01291	P	5
F_01292	P	2
F_01293	P	2
F_01294	P	5
F_01295	P	1
F_01296	P	2
F_01297	P	5
F_01298	P	4
F_01299	P	1
F_01300	P	3
F_01301	P	2
F_01302	P	5
F_01303	P	5
F_01304	P	1
F_01305	P	2
F_01306	P	4
F_01307	P	5
F_01308	P	4
F_01309	P	1
F_01310	P	2
F_01311	P	2
F_01312	P	1
F_01313	P	2
F_01314	P	2
F_01315	P	1
F_01316	P	3
F_01317	P	3
F_01318	P	5
F_01319	P	4
F_01320	P	4
F_01321	P	5
F_01322	P	1
F_01323	P	3
F_01324	P	4
F_01325	P	5
F_01326	P	3
F_01327	P	3
F_01328	P	4
F_01329	P	4
F_01330	P	2
F_01331	P	5
F_01332	P	3
F_01333	P	3
F_01334	P	2
F_01335	P	5
F_01336	P	2
F_01337	P	4
F_01338	P	1
F_01339	P	3
F_01340	P	1
F_01341	P	2
F_01342	P	4
F_01343	P	5
F_01344	P	4
F_01345	P	2
F_01346	P	1
F_01347	P	5
F_01348	P	2
F_01349	P	4
F_01350	P	2
F_01351	P	2
F_01352	P	5
F_01353	P	1
F_01354	P	4
F_01355	P	5
F_01356	P	3
F_01357	P	5
F_01358	P	4
F_01359	P	2
F_01360	P	4
F_01361	P	2
F_01362	P	2
F_01363	P	5
F_01364	P	2
F_01365	P	3
F_01366	P	4
F_01367	P	5
F_01368	P	1
F_01369	P	1
F_01370	P	4
F_01371	P	1
F_01372	P	1
F_01373	P	3
F_01374	P	4
F_01375	P	2
F_01376	P	1
F_01377	P	4
F_01378	P	1
F_01379	P	3
F_01380	P	3
F_01381	P	2
F_01382	P	2
F_01383	P	2
F_01384	P	5
F_01385	P	1
F_01386	P	1
F_01387	P	1
F_01388	P	3
F_01389	P	1
F_01390	P	1
F_01391	P	2
F_01392	P	3
F_01393	P	5
F_01394	P	3
F_01395	P	1
F_01396	P	1
F_01397	P	3
F_01398	P	5
F_01399	P	2
F_01400	P	2
F_01401	P	2
F_01402	P	2
F_01403	P	1
F_01404	P	2
F_01405	P	2
F_01406	P	4
F_01407	P	1
F_01408	P	3
F_01409	P	3
F_01410	P	1
F_01411	P	1
F_01412	P	1
F_01413	P	4
F_01414	P	4
F_01415	P	5
F_01416	P	4
F_01417	P	2
F_01418	P	4
F_01419	P	2
F_01420	P	3
F_01421	P	5
F_01422	P	3
F_01423	P	2
F_01424	P	3
F_01425	P	2
F_01426	P	4
F_01427	P	5
F_01428	P	1
F_01429	P	4
F_01430	P	4
F_01431	P	5
F_01432	P	3
F_01433	P	3
F_01434	P	1
F_01435	P	3
F_01436	P	4
F_01437	P	1
F_01438	P	3
F_01439	P	2
F_01440	P	2
F_01441	P	5
F_01442	P	5
F_01443	P	2
F_01444	P	1
F_01445	P	1
F_01446	P	3
F_01447	P	1
F_01448	P	4
F_01449	P	1
F_01450	P	5
F_01451	P	3
F_01452	P	1
F_01453	P	4
F_01454	P	2
F_01455	P	4
F_01456	P	1
F_01457	P	2
F_01458	P	1
F_01459	P	3
F_01460	P	3
F_01461	P	1
F_01462	P	5
F_01463	P	4
F_01464	P	5
F_01465	P	1
F_01466	P	3
F_01467	P	3
F_01468	P	1
F_01469	P	4
F_01470	P	4
F_01471	P	5
F_01472	P	4
F_01473	P	4
F_01474	P	2
F_01475	P	5
F_01476	P	1
F_01477	P	3
F_01478	P	4
F_01479	P	5
F_01480	P	4
F_01481	P	1
F_01482	P	3
F_01483	P	1
F_01484	P	4
F_01485	P	4
F_01486	P	1
F_01487	P	1
F_01488	P	5
F_01489	P	4
F_01490	P	1
F_01491	P	3
F_01492	P	2
F_01493	P	2
F_01494	P	3
F_01495	P	2
F_01496	P	3
F_01497	P	1
F_01498	P	4
F_01499	P	4
F_01500	P	4
F_01501	P	4
F_01502	P	5
F_01503	P	1
F_01504	P	4
F_01505	P	3
F_01506	P	4
F_01507	P	5
F_01508	P	3
F_01509	P	2
F_01510	P	1
F_01511	P	1
F_01512	P	5
F_01513	P	3
F_01514	P	4
F_01515	P	5
F_01516	P	1
F_01517	P	3
F_01518	P	2
F_01519	P	5
F_01520	P	2
F_01521	P	4
F_01522	P	2
F_01523	P	3
F_01524	P	2
F_01525	P	2
F_01526	P	3
F_01527	P	5
F_01528	P	4
F_01529	P	2
F_01530	P	1
F_01531	P	3
F_01532	P	3
F_01533	P	4
F_01534	P	3
F_01535	P	5
F_01536	P	2
F_01537	P	3
F_01538	P	4
F_01539	P	4
F_01540	P	5
F_01541	P	4
F_01542	P	2
F_01543	P	3
F_01544	P	3
F_01545	P	1
F_01546	P	5
F_01547	P	3
F_01548	P	1
F_01549	P	2
F_01550	P	5
F_01551	P	2
F_01552	P	1
F_01553	P	2
