gender,years_exp,education,test_score,senior_hire
M,7.2,0,75.3,0
F,8.33,2,77.0,1
M,3.66,0,61.1,0
M,2.05,1,80.6,0
F,5.88,1,65.8,0
F,6.36,0,72.6,0
M,7.7,0,67.0,0
F,2.16,2,49.4,1
M,4.75,2,69.8,1
M,9.66,1,71.5,0
M,1.85,0,66.3,0
F,4.52,0,52.6,0
M,4.79,0,70.0,0
M,2.71,1,72.8,0
F,7.91,2,87.6,1
M,5.05,0,62.9,0
F,2.12,1,56.9,0
M,3.36,0,76.5,0
F,3.6,0,70.5,0
F,9.86,1,68.4,1
M,4.61,1,81.9,0
M,3.83,1,58.0,0
M,8.99,0,78.4,0
F,6.29,2,73.9,1
F,11.33,0,70.8,0
M,4.26,2,67.9,0
M,0.96,1,55.6,0
M,9.14,0,33.8,0
F,4.32,0,54.0,0
F,5.56,2,69.7,0
M,5.16,1,86.3,0
M,3.93,0,95.6,0
M,7.42,1,56.4,0
M,3.67,1,80.1,0
M,6.65,1,94.7,0
F,4.85,0,66.9,0
F,7.1,1,83.3,0
M,10.25,0,68.7,0
M,6.01,2,62.9,1
F,4.73,1,61.5,0
M,12.42,2,57.7,1
M,10.29,1,57.7,0
F,5.23,1,56.0,0
M,7.93,0,77.9,0
F,6.7,0,75.8,0
F,5.09,1,59.3,0
F,3.45,1,64.9,0
M,5.95,1,79.1,1
M,2.7,1,61.3,0
F,9.5,1,65.6,1
M,9.83,1,67.9,1
F,3.62,0,74.8,0
F,3.98,2,65.2,0
M,2.51,2,53.8,0
M,8.88,0,42.0,0
M,5.82,1,49.7,0
F,2.84,0,47.8,0
F,4.74,1,78.2,0
M,8.11,1,74.2,0
M,6.42,1,62.3,0
M,8.49,0,67.3,0
M,0.07,2,57.0,0
M,6.46,0,72.3,0
M,6.76,2,66.2,0
M,6.53,1,78.0,0
M,6.33,1,56.7,0
M,4.29,2,70.6,0
F,5.09,1,66.8,0
M,3.64,0,63.4,0
M,2.2,0,48.8,0
F,9.56,1,75.2,1
F,3.57,1,63.6,0
M,4.12,1,77.7,0
M,0.0,2,55.2,0
F,7.21,0,50.1,0
F,4.94,0,36.7,0
M,4.12,0,74.4,0
M,4.89,2,58.8,1
M,4.75,1,76.7,0
F,3.62,1,50.7,0
M,3.72,0,76.4,0
F,6.67,0,65.2,0
M,7.94,2,57.6,1
F,8.28,0,58.3,0
M,5.7,2,78.9,1
M,8.65,0,62.4,0
M,8.37,1,44.1,0
M,8.88,0,75.3,0
M,8.05,2,74.5,1
F,1.96,1,88.0,0
F,5.8,2,76.3,0
F,6.66,0,94.7,0
F,9.5,1,75.4,0
F,4.48,1,52.1,0
F,6.84,0,57.0,0
M,6.1,0,70.6,0
F,1.74,0,49.8,0
M,4.29,0,74.5,0
F,2.92,1,71.2,0
M,10.83,0,75.9,0
M,6.77,1,73.7,0
F,8.68,0,72.9,0
M,6.75,0,77.9,0
M,7.12,0,68.7,0
F,8.66,0,68.0,0
F,4.39,1,50.7,0
F,3.05,0,63.4,0
F,3.54,2,81.5,0
F,8.32,1,57.4,0
F,5.8,1,48.2,0
M,3.59,2,70.7,0
M,2.4,1,57.0,0
M,4.15,0,89.2,0
F,6.57,2,72.5,0
M,5.61,2,58.5,0
F,4.13,0,83.4,0
F,3.04,1,84.5,0
M,4.43,2,80.5,1
M,9.39,1,84.2,1
F,11.68,0,68.2,0
M,6.23,1,58.5,0
M,9.61,1,78.9,0
F,5.97,0,73.1,0
M,2.44,2,61.7,0
F,4.81,0,66.9,0
F,2.51,0,77.6,0
M,6.48,2,63.5,1
F,5.8,2,62.2,0
M,0.34,1,91.7,0
F,3.04,1,63.5,0
F,9.99,1,56.2,0
M,4.11,2,76.5,0
M,5.9,1,56.6,0
M,4.57,1,88.4,0
M,3.42,1,76.2,0
M,6.19,1,75.4,0
M,4.21,1,81.6,0
F,3.8,0,83.6,0
F,5.15,2,65.9,0
F,0.48,1,55.4,0
F,0.98,1,52.0,0
M,0.64,2,81.2,1
M,8.26,0,92.3,0
M,6.62,2,48.5,0
M,5.42,1,71.8,0
F,6.54,1,61.7,0
M,7.28,0,82.9,0
M,0.0,0,65.0,0
M,0.7,0,57.5,0
M,5.76,0,65.7,0
M,7.92,0,54.3,0
M,7.09,0,76.3,0
M,1.77,1,85.1,0
M,5.28,0,79.4,0
M,7.6,2,59.6,0
F,5.23,1,100.0,0
M,3.63,0,83.9,0
F,3.89,1,86.0,0
M,8.08,1,53.0,0
F,1.9,0,61.3,0
M,3.77,2,87.1,1
M,7.78,1,94.2,1
M,3.44,0,70.7,0
F,0.0,0,60.9,0
M,6.33,1,59.2,1
F,4.48,0,78.3,0
M,1.47,1,79.0,0
M,1.94,1,82.6,0
F,6.76,2,43.0,0
M,7.48,0,84.8,0
M,2.5,0,55.5,0
F,6.58,1,78.8,0
F,4.56,1,72.6,0
F,5.46,1,70.9,0
M,7.44,0,68.8,0
M,1.47,0,67.1,0
F,3.93,2,77.7,1
F,13.2,0,82.2,0
M,2.19,2,93.6,0
F,5.92,0,66.6,0
M,2.6,1,67.0,0
M,7.6,0,78.6,0
M,6.57,2,63.7,0
M,3.54,1,55.5,0
F,5.37,2,60.7,0
F,6.79,1,69.5,0
F,8.61,2,78.4,0
M,6.67,1,84.0,0
M,8.87,1,43.4,0
F,6.17,0,79.3,0
M,8.41,0,48.7,0
F,6.62,1,55.5,0
F,5.98,2,74.0,0
F,6.92,1,64.1,0
F,6.93,0,76.4,0
F,5.83,2,44.3,0
F,2.99,1,68.8,0
M,4.87,1,98.0,0
F,8.53,2,48.0,0
F,5.73,0,86.0,0
M,3.51,1,59.7,0
F,4.47,1,78.5,0
M,8.58,0,58.7,0
F,1.97,0,23.6,0
F,1.53,0,58.7,0
M,3.67,0,91.5,0
F,3.18,1,57.5,0
F,7.82,0,88.2,0
F,6.1,1,53.9,0
M,7.06,1,71.6,1
F,4.56,0,80.5,0
M,7.33,1,38.7,0
F,5.09,0,69.6,0
F,3.01,1,69.2,0
F,3.35,0,72.0,0
F,7.0,1,62.8,0
F,6.82,2,62.5,0
M,3.9,0,74.9,0
M,7.91,0,60.7,0
F,6.61,2,90.3,0
F,4.65,2,71.1,0
M,2.45,1,60.4,0
F,8.96,0,71.9,0
F,6.31,0,65.5,0
M,7.57,0,72.5,0
M,3.23,2,49.1,0
F,6.18,0,64.8,0
M,7.68,1,85.0,1
M,6.03,1,48.9,0
M,5.45,1,70.8,0
F,2.49,2,55.6,0
M,8.66,1,94.4,1
F,7.4,0,56.6,0
M,3.83,1,71.2,0
F,1.01,1,72.2,0
F,8.18,1,69.9,0
M,2.83,2,75.8,0
M,4.78,1,68.6,0
F,5.09,1,73.3,0
M,11.0,2,70.8,1
M,6.6,1,62.7,0
F,9.74,1,52.3,0
M,6.4,2,57.6,1
M,3.6,1,78.2,0
M,8.51,1,82.4,0
F,10.69,2,81.4,1
F,4.39,0,75.0,0
M,4.38,0,57.7,0
M,8.5,1,70.4,1
M,10.39,0,68.4,0
M,4.67,1,45.6,0
F,3.97,0,71.6,0
M,5.08,1,85.5,0
F,4.76,0,62.9,0
F,3.84,1,68.1,0
M,6.76,1,85.2,0
M,5.19,0,82.0,0
F,4.35,0,81.3,0
M,7.27,1,70.9,0
F,1.36,0,70.5,0
M,9.32,0,69.1,0
M,9.71,2,64.2,1
F,7.05,0,80.6,0
M,4.29,0,91.1,0
M,3.22,0,76.0,0
M,3.43,1,62.4,0
M,6.85,0,57.6,0
M,4.45,2,78.3,0
M,7.5,1,69.0,1
M,5.27,0,63.5,0
F,6.54,1,51.3,0
F,8.85,1,54.6,0
F,6.36,2,55.8,0
F,2.96,0,65.5,0
M,4.92,0,56.0,0
F,0.24,0,82.1,0
M,6.11,1,57.6,0
F,0.0,1,59.8,0
F,4.16,1,69.4,0
F,3.49,2,74.3,1
M,4.55,2,68.4,0
M,8.16,0,50.5,0
M,4.95,2,82.3,1
M,5.36,1,94.1,0
F,1.55,1,79.7,0
F,5.73,1,54.2,0
M,7.39,0,76.7,0
F,2.27,2,85.6,0
M,3.81,0,32.4,0
F,0.0,0,56.2,0
F,7.87,1,77.0,0
F,6.02,2,58.8,1
F,0.93,1,53.3,0
M,7.11,2,79.8,1
M,3.83,1,69.2,0
M,2.77,2,67.9,1
F,10.19,0,89.9,0
F,5.6,1,70.5,0
M,3.17,1,89.1,0
M,0.59,0,69.0,0
M,7.05,1,60.8,0
M,4.57,0,56.8,0
M,1.79,0,54.8,0
F,5.23,0,85.3,0
M,2.94,1,69.0,0
M,6.56,2,75.6,1
M,7.73,1,71.6,0
F,5.09,0,75.0,0
M,6.65,1,47.1,0
M,6.89,1,89.0,0
F,9.01,1,73.1,1
F,6.44,1,91.0,0
F,2.51,1,74.7,0
M,8.53,2,48.3,1
F,4.48,1,65.1,0
M,4.86,1,56.1,0
F,6.11,0,63.3,0
F,6.55,2,79.0,0
M,4.27,1,70.8,0
F,4.97,1,58.3,0
M,5.84,2,50.4,1
F,2.79,1,76.9,0
F,1.22,0,73.1,0
M,5.42,1,85.9,0
F,5.71,2,78.8,0
M,4.01,0,65.3,0
M,3.75,0,57.3,0
F,4.82,1,76.5,0
M,5.09,1,69.7,0
M,4.43,0,78.6,0
M,4.94,2,83.6,1
M,5.07,0,63.4,0
F,3.16,1,67.5,0
M,0.0,0,62.3,0
M,3.69,1,71.7,0
M,5.59,1,65.4,0
M,0.0,1,91.1,0
F,2.47,1,46.1,0
M,0.12,2,77.7,0
M,4.05,1,96.4,0
M,6.42,2,66.5,1
M,6.33,0,58.3,0
F,6.81,1,80.5,0
F,9.13,2,62.5,0
M,5.16,0,66.4,0
F,7.3,1,77.3,1
M,7.92,1,67.3,0
F,2.03,1,65.1,0
F,7.92,2,72.6,0
M,7.43,1,66.5,0
F,5.3,2,67.2,0
M,7.73,1,73.3,0
F,7.15,2,77.9,1
M,5.69,0,79.0,0
M,6.3,1,98.3,0
F,7.58,2,56.5,0
F,7.14,1,55.7,0
F,2.04,2,68.0,0
M,7.63,1,77.5,0
F,8.01,0,83.4,0
F,7.51,1,66.7,0
M,5.22,0,70.7,0
F,6.62,2,76.5,0
M,3.74,2,79.9,1
M,5.27,0,56.5,0
M,5.84,1,94.8,1
M,7.61,2,93.6,1
F,2.93,1,80.3,0
M,3.35,0,75.0,0
F,4.58,0,82.3,0
M,7.33,0,76.5,0
M,6.13,1,79.7,0
M,8.5,1,50.1,0
M,7.33,0,94.3,0
F,3.96,2,73.9,1
F,1.95,2,96.5,0
M,1.92,0,61.2,0
F,3.61,1,86.0,0
F,8.66,1,86.8,1
F,5.55,0,65.2,0
F,7.13,1,71.3,0
F,2.12,2,78.8,0
M,3.57,1,71.9,0
F,3.25,0,75.2,0
F,3.4,0,68.3,0
M,5.39,1,77.4,0
M,4.93,1,50.8,0
M,3.26,1,79.3,0
F,3.59,0,73.6,0
M,5.18,0,56.7,0
F,2.12,2,56.5,0
F,9.01,0,72.0,0
F,4.32,1,67.1,0
F,3.97,1,71.9,0
M,6.27,0,79.6,0
M,8.04,0,68.8,0
M,6.0,0,60.7,0
M,5.94,2,81.3,0
M,7.3,0,74.6,0
M,4.23,1,80.9,0
F,3.82,2,65.5,1
F,4.38,1,63.4,0
M,3.85,1,72.3,0
M,2.65,1,69.0,0
F,9.63,2,67.5,1
F,8.21,2,45.2,1
F,5.55,2,78.1,0
M,8.45,1,90.5,1
M,1.65,1,76.6,0
M,4.33,0,72.3,0
M,9.15,0,67.7,0
M,7.45,1,73.5,0
M,4.88,0,57.1,0
M,1.92,1,72.3,0
F,8.8,0,58.7,0
M,2.65,2,56.8,0
F,3.59,0,74.9,0
F,5.38,1,57.1,0
F,5.45,2,57.2,1
M,5.98,2,79.6,1
M,6.39,0,53.1,0
M,6.5,2,80.4,1
F,11.87,1,80.6,0
F,6.66,1,80.1,0
F,5.54,0,54.2,0
M,0.38,1,77.7,0
F,8.0,0,80.6,0
F,4.22,2,77.4,1
F,7.62,0,60.6,0
F,5.79,1,79.9,0
M,7.88,0,50.3,0
M,8.53,0,66.4,0
M,10.16,2,61.3,0
M,5.13,0,85.5,0
M,2.66,0,64.5,0
M,5.62,0,60.1,0
M,0.69,0,74.8,0
M,4.69,0,50.8,0
M,5.48,1,60.2,0
F,0.0,0,50.1,0
F,8.17,1,70.6,0
F,2.94,1,53.2,0
F,4.46,0,55.2,0
F,6.07,1,63.8,0
M,5.34,0,58.9,0
F,6.56,2,77.1,1
F,5.38,1,88.6,0
M,6.17,1,79.4,0
M,2.89,2,81.6,0
F,7.54,1,47.2,0
M,3.58,2,64.3,0
M,2.38,0,78.6,0
F,4.89,1,75.2,0
F,2.56,2,73.4,1
M,0.0,2,49.3,0
M,9.68,1,78.6,1
M,3.33,1,95.3,0
M,5.17,0,60.6,0
F,10.76,0,57.3,0
F,2.58,0,72.1,0
M,4.98,0,70.1,0
F,6.51,1,69.1,0
F,8.09,2,78.3,1
F,2.3,1,54.0,0
M,2.01,2,79.8,0
M,8.08,0,53.5,0
M,5.84,0,47.5,0
M,2.3,2,83.6,0
M,1.57,0,80.7,0
F,7.81,1,74.1,0
M,8.82,0,76.9,0
M,5.06,1,83.6,0
M,5.0,1,77.8,0
F,4.18,1,62.9,0
F,0.0,2,78.8,0
F,8.8,1,56.6,0
F,5.57,2,72.7,1
F,8.66,1,46.4,0
F,3.89,2,70.9,0
M,4.66,0,71.1,0
M,5.31,0,66.5,0
M,5.34,0,51.8,0
F,4.56,0,46.5,0
F,8.87,2,77.4,1
F,8.8,2,60.3,0
M,8.29,2,78.1,1
F,4.2,0,65.8,0
M,5.22,1,65.0,0
F,2.99,0,42.1,0
F,12.1,1,76.8,1
F,4.37,1,69.2,0
M,6.13,0,61.2,0
M,3.33,0,57.8,0
M,7.05,0,47.3,0
M,7.83,0,55.1,0
F,3.21,0,83.5,0
F,7.14,1,71.7,0
M,3.53,1,85.5,0
M,4.25,1,76.8,0
M,5.29,0,62.1,0
M,3.76,0,72.6,0
M,8.03,1,46.3,0
M,4.71,0,82.1,0
F,5.76,0,65.6,0
M,6.89,1,67.9,0
F,3.48,0,70.6,0
F,4.74,2,69.8,1
M,4.96,0,69.9,0
M,0.93,1,67.2,0
M,9.87,0,59.3,0
M,7.33,2,63.4,1
F,6.62,1,47.8,0
F,7.31,1,71.5,0
M,2.4,0,48.9,0
F,4.99,0,75.5,0
M,8.67,1,60.4,0
M,4.24,1,61.4,0
M,6.08,0,43.5,0
M,6.47,0,67.8,0
F,1.53,1,56.9,0
M,4.05,0,71.0,0
F,6.95,1,67.5,0
M,5.82,2,66.0,0
M,10.89,1,75.2,0
F,6.65,0,61.7,0
F,0.0,2,62.0,0
M,9.55,0,59.6,0
M,1.98,0,64.4,0
F,6.54,1,62.7,0
F,6.29,1,75.5,0
F,6.23,0,74.5,0
M,6.06,1,62.9,0
M,3.36,2,58.9,0
M,7.24,2,62.4,1
F,6.14,1,74.2,0
F,4.34,0,64.2,0
M,7.29,1,64.3,0
M,11.52,1,52.5,0
F,2.57,2,80.7,1
M,3.99,1,61.8,0
M,5.2,1,67.7,0
M,3.06,2,80.1,0
M,5.4,0,45.8,0
M,3.11,0,63.8,0
F,5.59,0,78.6,0
F,7.93,0,52.6,0
F,6.14,1,57.8,0
F,4.72,0,64.3,0
F,6.6,1,65.6,0
F,6.07,1,63.7,0
F,7.3,1,66.8,0
F,5.15,1,54.9,0
F,2.0,0,57.6,0
F,7.34,1,63.5,0
M,4.64,1,62.2,0
M,4.8,0,82.5,0
M,7.76,2,64.4,1
F,6.39,1,72.6,0
F,4.4,1,84.3,0
M,11.5,1,66.8,0
M,9.83,2,68.0,1
M,4.34,1,61.3,0
M,1.1,2,68.2,0
M,8.22,1,57.7,0
F,6.58,0,68.3,0
M,5.52,1,79.3,0
M,6.31,1,56.4,0
F,5.21,1,73.9,0
F,7.1,2,77.8,1
M,5.81,0,56.8,0
F,7.93,0,83.4,0
M,8.33,1,67.6,1
M,5.44,1,75.5,0
M,6.74,1,75.4,0
M,7.01,2,75.3,0
F,5.55,0,70.6,0
M,7.13,2,72.4,1
M,5.31,1,72.8,0
F,7.94,1,57.5,0
M,4.15,1,83.1,0
M,5.04,0,61.5,0
M,1.38,0,68.5,0
F,1.91,2,59.3,0
M,6.42,1,86.7,1
F,5.27,1,82.8,0
M,5.57,0,71.8,0
M,9.3,1,80.3,0
F,5.59,0,93.5,0
F,11.26,2,70.3,1
M,1.08,1,83.1,0
M,5.94,1,73.3,0
F,8.55,0,49.7,0
F,6.58,1,63.9,0
F,7.18,0,87.8,0
M,4.02,2,68.5,1
M,1.3,2,82.0,1
M,5.25,1,64.6,0
F,7.69,1,64.3,0
M,6.56,0,79.7,0
M,2.89,1,83.2,0
M,7.31,1,68.5,0
F,5.29,2,53.0,0
F,5.19,1,52.1,0
M,6.76,2,80.4,1
F,3.12,0,70.5,0
F,8.26,0,62.9,0
M,10.51,0,75.2,0
F,2.54,2,75.6,0
F,5.85,1,81.7,0
M,2.48,2,70.5,0
M,6.28,1,86.5,0
M,7.1,1,89.8,0
M,9.9,0,66.2,0
F,3.32,1,65.1,0
F,4.3,2,84.8,1
M,7.3,2,80.6,0
M,5.28,0,68.3,0
F,6.72,0,39.0,0
M,9.92,1,69.3,0
M,7.36,1,70.0,0
M,2.42,0,74.5,0
M,9.87,1,62.2,0
M,2.24,1,65.5,0
M,7.51,2,75.2,1
F,5.91,1,59.9,0
M,6.74,0,60.6,0
M,5.85,1,74.4,0
M,6.67,0,63.9,0
F,0.62,1,63.4,0
F,6.38,1,67.6,0
M,3.29,2,59.9,0
M,3.45,0,62.3,0
F,5.58,2,47.6,0
M,5.75,1,56.2,0
