x,y
-7.474788711558051357e-01,  -1.451407466963203330e+00
-7.224595573860496112e-01,  -1.519258198402583471e+00
-6.967145549442544938e-01,  -1.585552476871168182e+00
-6.703184994337966218e-01,  -1.650285120244802561e+00
-6.433466610877751624e-01,  -1.713460885316426818e+00
-6.158747602685235023e-01,  -1.775093740965615341e+00
-5.879788169447073276e-01,  -1.835206112204915030e+00
-5.597350360032757877e-01,  -1.893828108236341512e+00
-5.312197302362811069e-01,  -1.950996746435671447e+00
-5.025092829808807116e-01,  -2.006755182855811892e+00
-4.736801527207920581e-01,  -2.061151958456033384e+00
-4.448089225273391123e-01,  -2.114240268867401351e+00
-4.159723980954916356e-01,  -2.166077264135199076e+00
-3.872477594118159949e-01,  -2.216723383568303340e+00
-3.587127729198961723e-01,  -2.266241729597661347e+00
-3.304460736392088593e-01,  -2.314697483418987733e+00
-3.025275303749502820e-01,  -2.362157364180063723e+00
-2.750387124449435450e-01,  -2.408689132576707692e+00
-2.480634840735483349e-01,  -2.454361138945248655e+00
-2.216887641268831532e-01,  -2.499241915280952409e+00
-1.960055065113417427e-01,  -2.543399810066476974e+00
-1.711099844246714574e-01,  -2.586902664354655990e+00
-1.471055072694165411e-01,  -2.629817527207266359e+00
-1.241047769676680013e-01,  -2.672210408336195719e+00
-1.022332304738957504e-01,  -2.714146065615653747e+00
-8.163398306028608886e-02,  -2.755687825023670268e+00
-6.247554000026745574e-02,  -2.796897430518370697e+00
-4.496470622025738884e-02,  -2.837834921350086415e+00
-2.937041913203534624e-02,  -2.878558534345674325e+00
-1.607471069778243500e-02,  -2.919124628768609231e+00
-5.713405241889611165e-03,  -2.959587631450455447e+00
-0.000000000000000000e+00,  -3.000000000000000000e+00
0.000000000000000000e+00 , -3.000000000000000000e+00
5.713405241889611165e-03 , -2.959587631450455447e+00
1.607471069778243500e-02 , -2.919124628768609231e+00
2.937041913203534624e-02 , -2.878558534345674325e+00
4.496470622025738884e-02 , -2.837834921350086415e+00
6.247554000026745574e-02 , -2.796897430518370697e+00
8.163398306028608886e-02 , -2.755687825023670268e+00
1.022332304738957504e-01 , -2.714146065615653747e+00
1.241047769676680013e-01 , -2.672210408336195719e+00
1.471055072694165411e-01 , -2.629817527207266359e+00
1.711099844246714574e-01 , -2.586902664354655990e+00
1.960055065113417427e-01 , -2.543399810066476974e+00
2.216887641268831532e-01 , -2.499241915280952409e+00
2.480634840735483349e-01 , -2.454361138945248655e+00
2.750387124449435450e-01 , -2.408689132576707692e+00
3.025275303749502820e-01 , -2.362157364180063723e+00
3.304460736392088593e-01 , -2.314697483418987733e+00
3.587127729198961723e-01 , -2.266241729597661347e+00
3.872477594118159949e-01 , -2.216723383568303340e+00
4.159723980954916356e-01 , -2.166077264135199076e+00
4.448089225273391123e-01 , -2.114240268867401351e+00
4.736801527207920581e-01 , -2.061151958456033384e+00
5.025092829808807116e-01 , -2.006755182855811892e+00
5.312197302362811069e-01 , -1.950996746435671447e+00
5.597350360032757877e-01 , -1.893828108236341512e+00
5.879788169447073276e-01 , -1.835206112204915030e+00
6.158747602685235023e-01 , -1.775093740965615341e+00
6.433466610877751624e-01 , -1.713460885316426818e+00
6.703184994337966218e-01 , -1.650285120244802561e+00
6.967145549442544938e-01 , -1.585552476871168182e+00
7.224595573860496112e-01 , -1.519258198402583471e+00
7.474788711558051357e-01 , -1.451407466963203330e+00
7.716987117563184340e-01 , -1.382016087120825576e+00
7.950463919999253282e-01 , -1.311111111111110894e+00
8.174505953608124376e-01 , -1.238731390235278340e+00
8.388416735087302900e-01 , -1.164928036733859917e+00
8.591519646269883959e-01 , -1.089764780673871503e+00
8.783161286693197400e-01 , -1.013318207076236099e+00
8.962714952649933897e-01 , -9.356778596885374499e-01
9.129584195617328479e-01 , -8.569461994929318260e-01
9.283206409238594636e-01 , -7.772384082284897744e-01
9.423056391003579169e-01 , -6.966820298772121722e-01
9.548649822645332019e-01 , -6.154164461655891039e-01
9.659546612216680650e-01 , -5.335921855966838656e-01
9.755354040983601482e-01 , -4.513700692562478411e-01
9.835729659777813216e-01 , -3.689202005148350394e-01
9.900383882347381093e-01 , -2.864208096449286090e-01
9.949082227535520628e-01 , -2.040569681460571994e-01
9.981647167749483351e-01 , -1.220191910767389198e-01
9.997959548041217559e-01 , -4.050194878906378942e-02
9.997959548041217559e-01 , 4.029788797894281321e-02
9.981647167749483351e-01 , 1.201826437856470392e-01
9.949082227535520628e-01 , 1.989554478930226633e-01
9.900383882347381093e-01 , 2.764218299489796804e-01
9.835729659777813216e-01 , 3.523912748950012164e-01
9.755354040983599262e-01 , 4.266787112315569286e-01
9.659546612216678430e-01 , 4.991059086861652228e-01
9.548649822645332019e-01 , 5.695027638882709242e-01
9.423056391003579169e-01 , 6.377084557521234265e-01
9.283206409238592416e-01 , 7.035724557746592112e-01
9.129584195617326259e-01 , 7.669553822293877499e-01
8.962714952649932787e-01 , 8.277296911343089425e-01
8.783161286693197400e-01 , 8.857802007503514652e-01
8.591519646269881738e-01 , 9.410044500953597124e-01
8.388416735087301790e-01 , 9.933128954217497197e-01
8.174505953608124376e-01 , 1.042628951708597818e+00
7.950463919999251061e-01 , 1.088888888888889239e+00
7.716987117563183229e-01 , 1.132041594722090982e+00
7.474788711558048027e-01 , 1.172048217906984879e+00
7.224595573860496112e-01 , 1.208881706207909579e+00
6.967145549442540498e-01 , 1.242526255057067930e+00
6.703184994337963998e-01 , 1.272976682330304810e+00
6.433466610877751624e-01 , 1.300237744820559538e+00
6.158747602685231692e-01 , 1.324323411407407391e+00
5.879788169447072166e-01 , 1.345256107103395049e+00
5.597350360032755656e-01 , 1.363065941110538137e+00
5.312197302362806628e-01 , 1.377789930804613761e+00
5.025092829808807116e-01 , 1.389471232238527865e+00
4.736801527207918361e-01 , 1.398158386371552542e+00
4.448089225273388347e-01 , 1.403904588834751666e+00
4.159723980954912470e-01 , 1.406766989673409185e+00
3.872477594118157729e-01 , 1.406806028196402325e+00
3.587127729198959503e-01 , 1.404084806834678290e+00
3.304460736392086373e-01 , 1.398668506783951049e+00
3.025275303749502820e-01 , 1.390623847192000939e+00
2.750387124449432674e-01 , 1.380018588754648778e+00
2.480634840735482238e-01 , 1.366921081808221583e+00
2.216887641268828479e-01 , 1.351399858347986038e+00
1.960055065113415484e-01 , 1.333523266856599943e+00
1.711099844246711243e-01 , 1.313359148386897157e+00
1.471055072694162913e-01 , 1.290974552000654585e+00
1.241047769676678486e-01 , 1.266435487409759642e+00
1.022332304738954728e-01 , 1.239806712488421780e+00
8.163398306028596396e-02 , 1.211151553214671495e+00
6.247554000026723370e-02 , 1.180531753546632867e+00
4.496470622025728475e-02 , 1.148007352734638609e+00
2.937041913203534624e-02 , 1.113636587605545403e+00
1.607471069778229622e-02 , 1.077475817422827831e+00
5.713405241889562593e-03 , 1.039579469018050428e+00
0.000000000000000000e+00 , 1.000000000000000000e+00
